"","AGRN","AMBP","CA9","CDC42EP5","CKAP4","COL1A1","CPXM2","CTSL","CYP4B1","EIF6","ERRFI1","GPD1L","GPI","HSP90AA1","HTATIP2","IER3","MAOB","MARVELD1","MUC13","PCNA","PFDN2","PFN1","PKM","PRR15","PSMB8","PSMD2","PSMD8","PYGB","SEMA3C","SERPINB5","SERPINH1","TIMM23","TM4SF1","TNNC2","TSKU","TXN","class"
"GSM1465989",0.00194652034277549,-0.00416502525837054,-0.00125241390209575,-0.235170619754109,-0.00448922540473524,0.00135774357621438,0.0129009117912676,-0.012739998673656,0.00435309932807913,0.012011047876386,-0.00695900172032461,0.044544239472073,-0.0301390342143969,-0.00279119074081545,-0.00670238785332755,-0.0614871350171089,0.0082043670613326,-0.0749749010285557,0.000532723045088982,0.000447446211858961,0.0404194263352851,-0.016993134386134,-0.00127054712787912,-0.0320640093868141,-0.0043572298526336,-0.00738397323053816,0.0790610245238905,-0.00577018416383563,-0.011676908256281,-0.00248876701335228,-0.031020250350559,0.0552484430792243,-0.0178321773520703,0.0816691809821314,-0.00833802729143454,-0.000650379784474768,1
"GSM748053",0.00203614183524222,-0.00498161351178155,-0.00123698746658456,-0.175407267705833,-0.00459124271853296,0.00137136300061112,0.0118296692427985,-0.0127805987699865,0.00543750388034986,0.0118413481631751,-0.00592249618224608,0.0474172845834357,-0.0284473670719609,-0.00280836283265595,-0.00648980381663028,-0.0635640105881362,0.00771555598144294,-0.0712087999230746,0.000511397743043521,0.000490887619535489,0.041462520764891,-0.0183295119821325,-0.00120742173767139,-0.0316191292861703,-0.00432680480487025,-0.00752013654759641,0.0721533629708215,-0.00644196225967933,-0.0125928986090407,-0.00239125619323238,-0.0339133786705359,0.0518593031880378,-0.0186770624926205,0.0782356009963452,-0.00772720457805674,-0.000661210797040479,1
"GSM748054",0.0018755729095719,-0.00406133356724827,-0.00123990691112274,-0.195773043996361,-0.00459580460904337,0.00138618013060345,0.0120784406790236,-0.0129024693955127,0.00332350630913151,0.0125710923673992,-0.00731878186392567,0.0437054103239565,-0.0291175001287251,-0.00279465849742575,-0.00691763737198901,-0.0726403958847468,0.00827577034573174,-0.0774881144578674,0.000544641625931934,0.000516337308251749,0.044258238269405,-0.018429583856392,-0.00121797008437911,-0.031356919220989,-0.00428518014703817,-0.0076731026442431,0.0759398318750869,-0.00608707470005057,-0.0150558502576953,-0.00236142214697656,-0.0342050786062218,0.0543506347700653,-0.0196885831884297,0.065913214742756,-0.00880697026208068,-0.000681206775599397,0
"GSM748055",0.00199884900076168,-0.00489232272559198,-0.00123723484464202,-0.159835353090375,-0.00449083634972218,0.00132570720110325,0.0127424180949976,-0.0126801750796943,0.00470280297156825,0.0118394552129455,-0.00618574040694227,0.0447190419947752,-0.0304660073944089,-0.00286993910498268,-0.0075536819524889,-0.0621606595608147,0.00833369244973201,-0.0694800713463856,0.000508046702944559,0.000497760083591928,0.0446535221943955,-0.0178861569133518,-0.00114198402236794,-0.0382062429752575,-0.00461454724839374,-0.00835400953490215,0.0768489218926943,-0.00620326074170375,-0.0113923197721498,-0.00259162609926608,-0.0334531265229189,0.0579165522286799,-0.0179844185138263,0.07943135319176,-0.00776079585642615,-0.000672345496772665,1
"GSM748057",0.0021556472890139,-0.0045182887715983,-0.00123738910826594,-0.118801718655591,-0.00486401919197635,0.0010550432959023,0.0142039587945506,-0.0131092563303118,0.00523509323840554,0.0111279465276088,-0.00464332800316914,0.0479731368496783,-0.0333575036400822,-0.00267881082968359,-0.00783776409520899,-0.0421383807745071,0.00828247455582157,-0.0635358586400959,0.000545906178804529,0.000456203305481422,0.0440256140609304,-0.0177590535727714,-0.00117489557539249,-0.0282159694858933,-0.00399022993705922,-0.00743136258924045,0.0771983440025377,-0.00557794085474695,-0.0103507666751371,-0.0024923907040718,-0.0273638583292333,0.0561252745524731,-0.0171272502513629,0.0715880413206164,-0.00856539160884001,-0.000720485220037252,1
"GSM748058",0.00188605069586377,-0.0044094533372527,-0.00115432329211912,-0.178020814634299,-0.00473334284526077,0.00133748734089199,0.0129993946740857,-0.0130693494765435,0.00534098747673667,0.0113728602062354,-0.00622044647243343,0.0479830532613139,-0.0287920573438514,-0.00284020673105376,-0.00636590688986572,-0.0593959271400004,0.00809770474098997,-0.0778284393542596,0.00050731741948749,0.000483206191481394,0.0404228578375701,-0.0180994707647659,-0.00121026267318656,-0.0303605496466974,-0.00414504197260107,-0.00750595998658848,0.0720557364967562,-0.00610786358751692,-0.013686309517401,-0.00245679346145929,-0.0314899196582827,0.0534774108538219,-0.0188370434361229,0.0983990364158941,-0.00775443963310634,-0.000672728861432849,1
"GSM748064",0.00194512041346947,-0.00619702079744055,-0.00127322840431009,-0.16044953509198,-0.00434596607604548,0.00125037700469794,0.0123343419444935,-0.0127780386573377,0.00420180544967118,0.0113098753260234,-0.00624378506500345,0.0444352130668393,-0.0308487510324947,-0.00273580969172183,-0.0064790752695309,-0.0610564827379477,0.00798584288513048,-0.0701325237034129,0.000560184063738151,0.000486568350026743,0.0436925502078706,-0.0187296123879844,-0.00117097607027379,-0.041098352052071,-0.00453233463741772,-0.00719783258208821,0.0756835019739521,-0.00620376676432531,-0.0134573120940569,-0.00241661100115676,-0.0306170136895043,0.0532458454799715,-0.0182186545373395,0.0670197262992067,-0.00710580226140059,-0.000677150180683828,1
"GSM748068",0.00183584960492519,-0.00509598485333423,-0.00120395373671419,-0.162304311540536,-0.00466956937616724,0.00133012170023691,0.0125815768290525,-0.0144337576320734,0.00243986472113959,0.0118144412326238,-0.00602101246258729,0.0385409244176729,-0.0326500576017428,-0.00280722046554882,-0.00730215997240585,-0.0629511482087071,0.00759868762421875,-0.0736728822637532,0.00100876612828502,0.000535763703441957,0.0430626738624045,-0.0188418561886734,-0.00126374225802939,-0.0284388330037311,-0.00439825112036769,-0.00820309252043851,0.0783035482534363,-0.00561614329452671,-0.0120376096579679,-0.00250608395039011,-0.0363481393152079,0.0535696788995089,-0.0152012027553638,0.0654766761390435,-0.0118623066993577,-0.000723979219861779,1
"GSM748075",0.00195908482442005,-0.00458064964026133,-0.0011750616345248,-0.185836999478801,-0.00450779435036913,0.0013661980345877,0.0127424673366942,-0.0145355368434372,0.00319410239739053,0.0117328036516544,-0.00718561004410919,0.0427963404760017,-0.0331417931554736,-0.00276635146831041,-0.00656484112455159,-0.0570359675821783,0.00901243936854437,-0.0770595376429115,0.000542732802681719,0.000477803396819261,0.0434456885716223,-0.0189162469404439,-0.0012801368375302,-0.0331200850368474,-0.00434587399547391,-0.00798683052476546,0.0798279487361468,-0.00566690880930945,-0.0147943343465238,-0.00238426285131995,-0.0335142325545821,0.0526800625332445,-0.0183430452491775,0.0923569540329275,-0.0083538235224431,-0.000695214923865051,0
"GSM748077",0.00186725288235201,-0.00443144736046368,-0.00131834944692034,-0.18745917594023,-0.00472092991266351,0.00135660982407491,0.0126633866489018,-0.0139301613824557,0.0037389621588886,0.0117748651908654,-0.00559470962305867,0.0408314092870794,-0.0301914515587299,-0.00286452356683982,-0.00780307576537867,-0.0602291776068459,0.00808607494354935,-0.0736992904571272,0.000885204017070287,0.000479234816575536,0.0421670615389858,-0.0187773631811811,-0.00128617649215198,-0.0565664954130542,-0.00448820081447799,-0.0081843869769127,0.0737163738277038,-0.00569059135439016,-0.0150136653638691,-0.00223420684880471,-0.0304887941601999,0.0543755253528161,-0.0164900148400325,0.072131190030173,-0.00900399359823899,-0.000633301415379469,0
