,SERPINE1,ROMO1,OST4,PSMC3,PPP1R14B,STIP1,FDCSP,EMC7,RPS4X,ZMAT2,TCEAL8,RNASE7,SPINK7,POMP,S100A10,SMIM14,EIF3D,LMO4,TUBB6,LAMTOR1,RPL12,GSTO1,GSTP1,SPINK5,TOMM34,HSP90AB1,CCL26,ARSI,RNF181,EPHX3,INPP1,SBDS,TMED10,class
TCGA-CV-7177,0.006382847871383716,0.02047496378678229,-0.1140688961831921,-0.05525874397843012,0.05176635766899611,-0.053257660792001414,-6.953751548068119e-06,-0.009326116620394696,-0.02963902096206256,-0.059048360572275804,-0.07478209057530387,-0.01651769705692422,0.019546533353761067,-0.03832804498685046,-0.09022152843962616,0.01338083011110615,0.022265697251476205,0.03390360242906665,-0.01749366743293329,-0.0032884174798120396,-0.11765974627595807,0.048387563468298214,0.031022215809661188,-0.00622539612839365,-0.0410213364845047,0.07981027871352682,-0.0060041238194678895,-0.011158945932237896,-0.039164938628370935,0.0010998026194226646,0.0025484011097249137,-0.039130451886464836,0.023181445293511748,0
TCGA-P3-A6T4,0.007619292905240976,0.019117099412684236,-0.11515771174830236,-0.07497440872945718,0.038471437725231795,-0.07533914315310877,-3.5824017632341477e-07,-0.013671556133601014,-0.02257665543834111,-0.07519396929995217,-0.2439515785390023,-0.09887025080829995,0.006272110912346545,-0.052570003152021295,-0.08214697380789374,0.007433609041284269,0.036609638970349745,0.014508517380076897,-0.023347529189545062,-0.0019710683859146365,-0.08103364310519622,0.02946304816155743,0.022543742915668488,-0.006673092577397503,-0.025969507661351577,0.08323031920934387,-0.007333138116459474,-0.00398734562224717,-0.048817959773473814,0.007229601540838169,0.007992912755035986,-0.05893024185610556,0.02981910953134157,0
TCGA-CV-5432,0.004146829980555526,0.034056768394272276,-0.12109134231731675,-0.1112723319231365,0.05485609782521887,-0.04711835769261758,-0.0012093409927199706,-0.009758774013790062,-0.022386011147635047,-0.07802267623337326,-0.07149352517666732,-0.0417715001232549,0.0005188292006129316,-0.047215021905107825,-0.06767835392509472,0.008208151116252001,0.033140731082894066,0.04198910000300793,-0.02832757240185653,-0.0031405771345844858,-0.058116848761506655,0.05471916400950642,0.024676124876942335,-0.001719173804029746,-0.034505612071918636,0.054205161514854466,-0.004127056180342317,-0.013933363726525394,-0.08631925980188293,0.04176509707400595,0.002238943915031998,-0.03519314510103918,0.03622588012288641,1
TCGA-CQ-5323,0.0005707699292252698,0.012185977332795393,-0.05458538980916632,-0.08518408358460405,0.03458870560121587,-0.03978812005145026,-7.215072270414518e-05,-0.007298977683714529,-0.018366329947486153,-0.07025693052813534,-0.05914925779820349,-0.11970632483353051,0.04834250694885865,-0.046307769227818166,-0.052453281731782986,0.011604411246499474,0.024469308341062278,0.07359242440492686,-0.014570814067591227,-0.0017995834159448864,-0.08340374962843627,0.04845573538688899,0.02888083555664547,-0.005541185707287596,-0.018132358140625103,0.04849925730801287,-0.00243753777859593,-0.004785652564949829,-0.04755795939029273,0.07895859382403672,0.003460330945319028,-0.030396488591221744,0.016287736661590783,1
TCGA-CV-5434,0.002287945428519786,0.030708070033347405,-0.12240099342998598,-0.06383177258773287,0.036192412085619165,-0.05591454724814451,-7.019533982894148e-07,-0.00984170281575151,-0.032066586798009056,-0.0609863909697672,-0.09223215677280913,-0.011609372696945015,0.00703736190244511,-0.047496342595254454,-0.08211707219657832,0.00787639062379933,0.0351958059332509,0.03276271507324372,-0.018394243481659793,-0.0028539925089776266,-0.11253887171235002,0.06643353466671051,0.016021307189024038,-0.0009096274760074764,-0.02620341499489343,0.06710162204321128,-0.0891976389311404,-0.004702093827327937,-0.04523410169481024,0.0023257699630061944,0.0025121621538812325,-0.0532542181518562,0.028387941450966077,1
TCGA-CR-7401,0.004196096654177946,0.01088937201426182,-0.08201163205089688,-0.056018311589522064,0.04292640762063362,-0.03344914331210942,-6.550888953454381e-05,-0.008407183871517454,-0.018739483678045853,-0.07583745071408436,-0.06444829888870013,-0.027038583619836166,0.008234745877840495,-0.05994052665266449,-0.07436015035383242,0.021902624966940357,0.034041815488960056,0.03701915458924212,-0.01298971613750844,-0.0029467449364924277,-0.06878152918167901,0.048297201985203625,0.018492407225373417,-0.006348638840401844,-0.01712690249524326,0.048459997686754935,-0.0003829748014269631,-0.010602565207034398,-0.03884124460188149,0.011163537077120724,0.0028625279846847236,-0.034458395533621185,0.026065258965008255,1
TCGA-QK-A6V9,0.0006662432060200997,0.04073260784401529,-0.0832366703877232,-0.07356521564976687,0.016654877807353485,-0.04004442897603673,-0.00019141838844591186,-0.008614423784178163,-0.04369197452043101,-0.09503372591982714,-0.05982805185299864,-0.010813133411881722,0.015329424902797543,-0.045844271126128724,-0.04327500789868111,0.03108264827313347,0.02357404767333617,0.18674741950494195,-0.003984190530022445,-0.00267376011377995,-0.07341284132271021,0.03963137543392458,0.016712427564432385,-0.004241239196262163,-0.028630344097734687,0.04833742280380519,-0.000769934097521567,-0.0001847909786328113,-0.047624632844995664,0.031088530130524702,0.023279041203320586,-0.025778534938116715,0.020293604588750458,1
TCGA-CV-7183,0.0019600941174413274,0.012586058526432275,-0.07463702968406172,-0.04138932171363389,0.03182830606636903,-0.03275552839967774,-5.276299460004387e-07,-0.004804600973599826,-0.01592653476206483,-0.03909739195084057,-0.06238489838601571,-0.0909952356159594,0.16161987485270224,-0.0404535354339592,-0.06219770462843231,0.010151895496134232,0.019399490641385932,0.01634090974023514,-0.019262603419895625,-0.001754474592938412,-0.0596134126944244,0.024338071991289092,0.019303383344361193,-0.026464352747776386,-0.013331637109235173,0.03436868216670954,-0.00045562233211139067,-0.0020900590915278357,-0.027078256442420495,0.012873602020180694,0.0019711643157750438,-0.031909486719738096,0.012927879791651551,1
TCGA-CQ-A4CE,0.00019213649568637747,0.013873912551313778,-0.038625818476626925,-0.04194585546861332,0.03184613093937085,-0.03694857922490114,-1.7607765055100356e-05,-0.004481994095563125,-0.02479740783946251,-0.036643864252381454,-0.025377224417108032,-0.25775294745794564,0.010587258139772099,-0.03540249971388828,-0.02659967287942083,0.009349506547091444,0.017119218877262164,0.03170554393755733,-0.0135763800591675,-0.0019066272101911019,-0.05432498314852742,0.017638101444171505,0.019364346161822258,-0.012797316197528037,-0.018741684582696323,0.04164446515041608,-0.0015063243097015997,-0.00221704556819261,-0.024914287127520602,0.038671226594403856,0.003364518613375839,-0.04003565404553245,0.014636736269195065,1
TCGA-CV-6959,0.010549980567222979,0.012724649115596334,-0.09820332753878824,-0.08040400364402202,0.08793861189019873,-0.06954293450450504,-5.83380559515498e-06,-0.006881386171471206,-0.02464593717443028,-0.06171651969277162,-0.05969418321385476,-0.07600563983139681,0.0015679696207037167,-0.056664705687990424,-0.10705607120979023,0.010540856073492534,0.028089039923358407,0.0182006057732681,-0.024375936209206545,-0.003444453713818977,-0.08854496629119986,0.04068532165999055,0.01941454635642148,-0.0008276049301208101,-0.03552127143832005,0.09616198298559711,-0.0003270992134133026,-0.005920078309833697,-0.038786962496673696,3.658701407660799e-05,0.003184232604269254,-0.04065759710411128,0.02422909828859816,0
