,CTTN,BOLA1,TM9SF2,FASN,RPS29,MFSD1,SELENOT,RPL27,S100A11,RPL32,FSTL3,FGA,ATP6V1F,GTF3C6,SOD1,PHPT1,STEAP1,RPL37,GOLIM4,SNRPG,SERPINE1,CDKN1A,BAG4,RGCC,RPS18,PDGFRB,GPI,EIF3D,THYN1,TNFRSF12A,CD14,A2M,EPHA2,FLII,H2AZ1,COLCA2,class
TCGA-18-4721,-0.0031076637231042606,0.02455775354638477,-0.06442648053284483,-0.0338627405417914,0.0019755276004242333,0.036455821843255465,0.008287707245188871,0.014171797341044328,0.0009223298586781677,-0.029272443421001663,-0.0039405790639486645,-8.730634194832806e-07,0.06301256209380886,0.032819843119823465,0.0009845766741283274,-0.02385276425119939,-0.015421779465381376,0.03329240363026085,0.17043188601048473,-0.0017770647043452272,0.010163607429373655,-0.07665071998777971,0.00467032889931136,-0.005860792664602105,-0.014924982473897638,0.010279469597871502,-0.0022733363408625053,0.108167934198061,-0.0034068504349559305,-0.004722213048609237,-0.016044990929110697,-0.013148019042489766,-0.010624812464967218,-0.009080048556017366,-0.03488341888765986,0.0024242839993749037,1
TCGA-34-5234,-0.0018121685354413955,0.03600224702460299,-0.06481114294091375,-0.003684709926240725,0.013622948680736158,0.047055061895312625,0.023580018782624213,0.06560187979051003,0.0009169520425195253,-0.08257158443537405,-0.015223165798160005,-2.4882067206671546e-05,0.14917744471833252,0.023065246177936746,0.0009319422605083912,-0.0662198644898234,-0.028657586358493515,0.04684900758758038,0.015759084959787534,-0.00469646272063741,0.01212443162733001,-0.07352735715405624,0.0011427938425972194,-0.03468284026322359,-0.1143345180857009,0.006156000340299229,-0.00018517532846427508,0.05997119834159985,-0.004517365845414825,-0.08745004429881766,-0.024040667790080378,-0.011960367373929403,-0.01549905744977352,-0.004334367349342168,-0.029076044588650197,0.0002500687518005395,1
TCGA-21-1076,-0.0029395385097512883,0.012730149330589044,-0.0635353928122525,-0.03211664613776106,0.003253074143284828,0.08135100077263684,0.007321422444174339,0.009990512115203718,0.001170578282762372,-0.028588506926346267,-0.00967428908719693,-1.4203497347234879e-05,0.10574942425175138,0.0221951776834801,0.0007996001828663502,-0.029252240072825713,-0.004179649724254301,0.03712231016176897,0.03578690782672019,-0.0017705697475285495,0.024483798817053853,-0.09027970787017976,0.0012164411667294841,-0.033943730607794625,-0.014239376193457186,0.015721778140074864,-0.00237189917707047,0.08139977582591199,-0.002236297448081809,-0.016033964152945807,-0.029470665495806726,-0.04154242536296189,-0.019363179814897002,-0.011744445908658935,-0.018766710722803955,0.00015391087912746676,1
TCGA-77-A5G6,-0.003917701008828611,0.039523362705879236,-0.08379920399761102,-0.056933810336554376,0.0049186902124671635,0.059704002254737855,0.009670657559106201,0.009371405779627038,0.0016169721453203306,-0.03834306237811598,-0.0040766058290236,-3.5388619067112614e-06,0.06805558029184111,0.059601322799510775,0.0009611032430408675,-0.031838108123004576,-0.003374532292630151,0.0826589199509072,0.05091440890350323,-0.00129625112352832,0.007958446468876513,-0.05175536494455685,0.001228404029067833,-0.007006288385632187,-0.019647619306309684,0.004537695212715083,-0.0015030212392260444,0.09890347877088662,-0.04004373081575271,-0.015181577082142527,-0.00494047983487013,-0.010325709005612138,-0.048571704913285975,-0.01221602657250063,-0.03804396345666725,0.0008006209211276332,0
TCGA-22-4605,-0.004450794859060342,0.02037625310654545,-0.06746216980401834,-0.0528046083893867,0.0030762576261484653,0.05866137721536283,0.005594904787805479,0.012665834601730748,0.0013717124555032935,-0.026286836755025897,-0.012366004142554288,-0.00010124028036417598,0.08730139192865144,0.025544332322606344,0.0013461216528531262,-0.040962673594249634,-0.0060186030226876495,0.06555751111166891,0.03708075675024415,-0.0011192600322255455,0.04885553876258438,-0.15284438469425082,0.0007150579898809305,-0.035254338655405525,-0.014397336394291799,0.013218167960244014,-0.0010331852810579443,0.09694172631593141,-0.0022514710994409335,-0.021732954467944824,-0.03400314516191097,-0.04662053624081919,-0.051194996667445876,-0.013474999993476306,-0.01968956172541596,0.0012744958190413472,1
TCGA-56-8625,-0.00434767787306657,0.022017341866627814,-0.08826062339814666,-0.08557556028861583,0.0018470750918096045,0.06795897644953781,0.007117859255875296,0.005510463779832553,0.000614376911967952,-0.023413631601699434,-0.015552500067173342,-6.337758119419082e-07,0.06213024856336209,0.014443269693748236,0.0007997640704501004,-0.032569823010337305,-0.006213386971940197,0.020524211555252178,0.04103955580172149,-0.0007614885917726459,0.00638071044494489,-0.09676165312313682,0.0008783962899730586,-0.012973285858548537,-0.007068412862928746,0.030100085992450985,-0.0011092027267784513,0.06199905555802002,-0.0018695698816346804,-0.012185539856492466,-0.06267133890933117,-0.04989606413955192,-0.026224824368328518,-0.015599434146212733,-0.015466516398069225,0.0010011492499604128,0
TCGA-21-1070,-0.006184894153426535,0.018234402176858337,-0.09370912998802594,-0.02086467443397851,0.0031232402886324138,0.05351459236264882,0.007666858005016342,0.009500440828727317,0.0018208276387005574,-0.02835683369590166,-0.00357898690501012,-8.194399315282261e-06,0.0897503140122942,0.03288495128899118,0.0008519802038189732,-0.014229215820723862,-0.010039056502167331,0.04501438267405313,0.04739292199798309,-0.0012683536401126626,0.01093466038170026,-0.08958720538618907,0.0013636240125422534,-0.007219048976511553,-0.01699428326548924,0.008314401385765667,-0.0007746534913485292,0.05993796468638439,-0.0026054423854562493,-0.017180341251324376,-0.009218854050638858,-0.008912899428136594,-0.05992679488322757,-0.008935184453367695,-0.02448052059199857,0.0007650683822919466,1
TCGA-21-1081,-0.00527884522394641,0.022429782841824467,-0.05994527849417994,-0.10849022905805955,0.0014335457105345499,0.038353299904401755,0.006897871589288278,0.005462811524044488,0.0019446645945966025,-0.025529964565458738,-0.01967207644349508,-1.274278584738393e-06,0.045603201945944354,0.017402014889393577,0.001326280655524902,-0.02527901397116088,-0.006649157978214927,0.06727523438232526,0.04357827367416907,-0.0009180993094204088,0.01766666663158845,-0.07083223326767042,0.0007606530624806186,-0.0065642152582022755,-0.011056290428071863,0.012971036300748695,-0.002123350572835378,0.08070932146179913,-0.0021369930900652545,-0.040637829614293915,-0.008414988277506393,-0.004763042129858789,-0.12421129059492919,-0.014438651033430724,-0.03807247358206566,0.00018617838456849972,0
TCGA-22-1011,-0.006076287960730329,0.014401890254493111,-0.0506578155128089,-0.024608015559112222,0.0018731897132334284,0.03553729651290351,0.004023535077065237,0.0049142050797736665,0.000911077269358446,-0.01749052347371614,-0.0038770226265495613,-7.238209879524567e-06,0.02752643667229296,0.013650877659252506,0.0007271508634738115,-0.017736787886876233,-0.01029782871027824,0.03407632079878697,0.013761597919701189,-0.0009143714575071139,0.003797818706671144,-0.07411023920802791,0.001118741069679885,-0.007879905412965814,-0.009366147174657617,0.006466129496400501,-0.0010432108869818883,0.05032497885324125,-0.0012860041430077173,-0.013207271977363667,-0.009318587633134316,-0.015527412817229077,-0.02868136522127341,-0.007975875161734768,-0.014856494899381647,0.00040859810529737144,0
TCGA-22-4613,-0.0025026683327187722,0.04263674677405543,-0.04498101625655943,-0.049789450382790416,0.003994658423484621,0.0530121363646984,0.007746016332649428,0.02223465525494874,0.0008416063847103186,-0.03818310637934581,-0.002883303737403837,-1.0095246253904088e-06,0.08946163234531716,0.019322530808341853,0.0010311545853995314,-0.02799629592313231,-0.007437221155370437,0.08626315276595375,0.04753897445028577,-0.0021743483047823517,0.0037373505307487726,-0.04174981482269053,0.0007557286726735412,-0.006525004414894716,-0.03656048560776701,0.002997516268900272,-0.0009168784740670611,0.1027043615638566,-0.00261143002729159,-0.005953290981124088,-0.01254039400605179,-0.016024831041922576,-0.014807879431248549,-0.010390688782018759,-0.024813089618357036,0.0002774528608242514,0
TCGA-18-5592,-0.005338472615207602,0.049850580681776877,-0.06406676367363141,-0.06904463189707041,0.004166439575247772,0.028131695050574557,0.00392720630408367,0.018123243426945372,0.0022501059081798994,-0.03295995375140345,-0.003572431398259521,-7.615880681788661e-07,0.06800660523944524,0.024508812047004006,0.0019575446444076946,-0.027165830430147204,-0.004264468536785072,0.12949520554425337,0.027582445127055263,-0.0012392817682081911,0.010507966093021301,-0.07633405897814001,0.000947662990768171,-0.02751722360666498,-0.03781671104263407,0.006963840084130843,-0.0032368780285031385,0.1399280292828839,-0.002051635102783189,-0.00473118703404413,-0.005219294139930833,-0.004296384258685472,-0.03374832232544795,-0.022979053671151058,-0.02329329370080537,0.006318956010784704,1
TCGA-34-5927,-0.007021416272519448,0.0349305779762705,-0.11297849300241135,-0.08933450570315825,0.0016057070492805773,0.034014857723476524,0.006592658836407944,0.013946907176572047,0.001005463764926942,-0.02437181181640155,-0.008396085188636477,-1.2512147189512729e-06,0.06380712159438595,0.02943418146594453,0.0009740157093098092,-0.023348266092038404,-0.006967654881567033,0.05090761688179631,0.0884465083014883,-0.001516257071637077,0.005056326033010037,-0.058010876634841696,0.0013022546303851164,-0.0045258831598607475,-0.021343866446116043,0.006649960013856831,-0.0017327013712679306,0.1621990497144943,-0.005809890691539289,-0.006373879314266709,-0.008707331171712351,-0.007171738670395448,-0.0419720899827533,-0.018820209847221072,-0.024040925280112296,0.01102542865374588,1
