feature,coefficient
LSM1,6.902002182692781e-05
RPL36AL,0.0001310254912158917
COLCA2,7.8806595293595e-05
XAGE2,-8.70188309198461e-06
ADAM8,-0.0005779992790902116
RPS21,1.1339009427846993e-05
RBM38,1.3883558853583892e-05
FASN,-0.0005323728292058754
UPP1,-0.0009779757732330018
MFSD1,0.00036930229455516813
LAMB3,-4.229789639204976e-05
SOD1,0.00010732216189126075
TRIB1,-0.0004960338019622424
LMO4,0.00010604632546391265
COL5A1,0.00016562612002804538
KLK7,-0.0004661831707868988
ELN,-0.0002841695658771057
RPS27A,0.00014253487299006992
MT-ND3,3.6897167554809833e-06
SERPINA1,-0.00023553356451930588
RPL32,-9.705553058969429e-05
PHPT1,-0.0009206355985205471
DBI,-6.407589303981928e-06
EIF3D,0.00041138982499844485
AGPAT2,0.00021639803630064833
