,LSM1,RPL36AL,COLCA2,XAGE2,ADAM8,RPS21,RBM38,FASN,UPP1,MFSD1,LAMB3,SOD1,TRIB1,LMO4,COL5A1,KLK7,ELN,RPS27A,MT-ND3,SERPINA1,RPL32,PHPT1,DBI,EIF3D,AGPAT2,class
TCGA-18-4721,0.003506341344847221,0.05767761777147235,0.0021634616992760045,-5.927722762259917e-06,-0.003766647902047182,0.005066221788522439,0.00034888272714348037,-0.03523658634491264,-0.01079303843097673,0.018670631454678357,-0.004635718321089838,0.02591904261965652,-0.014662709582623688,0.005030212006687779,0.016460917565107317,-0.0,-0.0030149254261297408,0.06809271450846524,0.01456239144955295,-0.023109517002950407,-0.041270535050533345,-0.04618736734217732,-0.0012730278049686097,0.11046581986282741,0.012563204395470439,1
TCGA-34-5234,0.003030607040400756,0.13607945887326756,0.00022316451655240229,-4.319440729199321e-05,-0.010202149675365507,0.05325302279335545,0.0003332026357742427,-0.0038342023532236353,-0.12149862459244734,0.024098968952115316,-0.003971019568657694,0.02453343838412702,-0.00837161207909696,0.0030456822812212105,0.006540194539831447,-0.014652043821198071,-0.006789919190110976,0.1586257915902792,0.010702012749094,-0.07173386687643528,-0.11641575049294496,-0.12822502139922357,-0.0016325140692077685,0.06124520766783598,0.019130516920533407,1
TCGA-21-1076,0.001124087683482077,0.06442575813281881,0.0001373520149372067,-6.188083104372096e-05,-0.018581289624480486,0.00709572872146092,0.0006345522224707079,-0.03341965111611591,-0.05196953479202439,0.04166342924391258,-0.0047676412301470026,0.021049524900380534,-0.032939769463245255,0.006484213175123485,0.025565004442972907,-0.032876449280136145,-0.014130246412369318,0.07723534312015459,0.025684878047583078,-0.09787380582720398,-0.040306268943018614,-0.05664265758033577,-0.0016316535299642438,0.08312900713066325,0.02595449915645257,1
TCGA-77-A5G6,0.0011067084419860568,0.07601749162284491,0.0007144842349103203,-3.7548625541913597e-06,-0.0030532811917940426,0.01184534835824373,0.0005821473412219701,-0.059243672891536994,-0.02220278838455419,0.030577048221825345,-0.016122215431318015,0.02530110307591902,-0.010214675273667869,0.025772215780211216,0.01653970591040466,-0.0001373841804308991,-0.03834675056206745,0.09022806670710251,0.020571363059290176,-0.01709391910505798,-0.05405898909981301,-0.06164981047356932,-0.0024304402723308214,0.10100455325056568,0.00912901083898641,0
TCGA-22-4605,0.0012353755666758156,0.07615581523392152,0.0011373761865748097,-6.182426880362306e-05,-0.011803785677724483,0.011525553141449218,0.0006545639842022637,-0.05494694502429929,-0.05692796975989303,0.030043074034128026,-0.014223280981324415,0.03543673683152395,-0.0430574701286295,0.006711056869923341,0.0252094382884967,-0.051468113841020145,-0.00803543439735033,0.06562804424518284,0.02851079595138176,-0.08990711854090297,-0.037061197866646065,-0.0793181885625764,-0.0014988120292730208,0.09900112594180575,0.028161045013199392,1
TCGA-56-8625,0.0012415321526227775,0.06431094049486633,0.0008934382515030158,-1.1956387368386854e-06,-0.030815106765848088,0.005667920654306426,0.0007099052381485345,-0.08904744775168659,-0.025694944275614594,0.03480478395966345,-0.004412550389935745,0.021053839251288564,-0.02236928914342987,0.009592833950507529,0.061698893169339436,-0.0004101013353412349,-0.04698692621256085,0.03469085006268817,0.01455270778792819,-0.07126096258559342,-0.03301033295310564,-0.06306666865969245,-0.0014762867898338028,0.06331614404687816,0.027064426324442226,0
TCGA-21-1070,0.001133481308452722,0.08258942890360423,0.0006827566996451189,-1.4463399887187622e-05,-0.033973930626004005,0.0115146654245966,0.0007781818038786894,-0.02171117548339109,-0.048759231518809745,0.027407178906740513,-0.012448406261448698,0.02242843223300802,-0.02453958583715527,0.0017232209748909415,0.008799318254401984,-0.019215137933494397,-0.0025637209894300724,0.13147346842516283,0.02545023087948994,-0.03657329859821104,-0.03997963826037206,-0.027552782192522933,-0.0009241339266078631,0.06121126800727361,0.010912130658103753,1
TCGA-21-1081,0.0008082865736129689,0.04803197969737765,0.0001661479448574863,-5.15151479045489e-07,-0.006987953484272749,0.00580184682855967,0.001700841474611314,-0.11289178792442271,-0.054579360940473984,0.019642413512570827,-0.007322768325608305,0.03491442133403157,-0.01788355626552492,0.007412023081239803,0.0521073189323953,-0.0019571768059146372,-0.020770237739523533,0.07353862992172064,0.017449981124061115,-0.006291313488518727,-0.035994101424471556,-0.04894909001061926,-0.0008326156100969502,0.08242388497061592,0.014326913310731612,0
TCGA-22-1011,0.001071742898928535,0.05812638007888678,0.000364638116423464,-0.0,-0.009316654779799302,0.005842846418848879,0.0005217691321236192,-0.025606387762841718,-0.02493779543197761,0.018200214191873985,-0.018626310114782312,0.019142292029194753,-0.02512748509924092,0.009134788056931251,0.005170069024511445,-6.195574339757885e-05,-0.0035373427560382122,0.04875767369202737,0.013001710628659496,-0.00517601495380691,-0.024659480990107167,-0.03434467925704841,-0.0005287427357038415,0.051394066918423215,0.00797071870988356,0
TCGA-22-4613,0.000775012021090207,0.062398269681744105,0.0002476024417529461,-0.0,-0.004467645427727791,0.011080409711033629,0.0005497875422460367,-0.05180945899265738,-0.021197918277557282,0.02714984906789447,-0.0024153156287270213,0.02714520905148036,-0.01769268245852985,0.007781774804234827,0.0034109705663055777,-0.00026880121627572583,-0.0027702838468661403,0.09106256562799747,0.02147256715252452,-0.019480910461322432,-0.05383347086893479,-0.0542107065832839,-0.002149577051128312,0.10488618080535601,0.009697769797795405,0
TCGA-18-5592,0.0009209272492345151,0.06499497217430801,0.005639116255466601,-0.0,-0.003166048851144543,0.011810921991719844,0.00055466205975953,-0.07184584279264972,-0.04976537299431185,0.014407479626792409,-0.03469761579800285,0.05153248538332767,-0.016790694593041708,0.0035980245674,0.012068612237635572,-0.0024196771296523195,-0.0006911288011697089,0.09233411922994189,0.030631372103392323,-0.0034107144410911645,-0.04646946983541926,-0.05260263238334806,-0.0011339991360454617,0.1429006164453548,0.028583086103396545,1
TCGA-34-5927,0.0009641337828981719,0.03305977543143244,0.009839231961531686,-1.2742167411593065e-05,-0.005446949606290336,0.008756933289173503,0.001792037019296965,-0.092958897402428,-0.012002403272156662,0.017420506257379658,-0.006838694280139131,0.02564102455927721,-0.028146396421363323,0.03617899769718446,0.015039845455266689,-0.0001165457926967247,-0.0052880546174938845,0.07153121153099039,0.015488348745584784,-0.011521100755105396,-0.03436124888338359,-0.045210480908587175,-0.0009262945657211658,0.16564475544920132,0.018110957572502903,1
TCGA-22-5485,0.0009072405789062354,0.08308469215785118,0.0035001240040292573,-2.0290180805580516e-05,-0.005371347300585336,0.015837345276699284,0.0016056085910110408,-0.09134996023800201,-0.027600725664913745,0.02368594126588482,-0.017583282057861114,0.07507439577817371,-0.02152905748628603,0.0056636267086837295,0.008949690208775446,-0.0003168180828667764,-0.002223768937771291,0.06655255393837103,0.011034173596459368,-0.10882691739147106,-0.03458836853051654,-0.0762395831211237,-0.0010549448622486544,0.13492759366400744,0.035562095892521496,0
TCGA-58-A46L,0.0010388824665367347,0.07943483297199218,0.001057017101353931,-4.299600435749596e-06,-0.0074761316753923415,0.013022188995830741,0.0007320175823346375,-0.08342782664115521,-0.04247045610661225,0.02141957001442921,-0.006107921983752965,0.02806382236397242,-0.020544827216432547,0.002646682981663239,0.013645720715154623,-0.002393617490405332,-0.004075986168158266,0.12316694937843325,0.050449525977482174,-0.009141929113182982,-0.07249221221929539,-0.07502010920732338,-0.0012932629719905845,0.1265530544134616,0.018778242557239578,1
TCGA-22-1005,0.0004945422603943032,0.04372462149404819,0.00015831456928530298,-0.0002499990099145535,-0.008274233079960107,0.006153188303483395,0.0004006781201585458,-0.013821942527389225,-0.011995068453857413,0.008814544096672207,-0.0030622111965677517,0.012219883800614164,-0.01891892762036071,0.0029773778429899042,0.009377883416883953,-0.000194817947071845,-0.007749872400600427,0.044634125562937346,0.020025017106042545,-0.10377790213565298,-0.03612294264132938,-0.03761974833522541,-0.00040266893083548434,0.029862376006812113,0.012619402965497718,1
TCGA-60-2726,0.0007021130740366058,0.08381278770998878,0.0006813066582917168,-2.486476074703683e-05,-0.006915241174963201,0.03113313039191706,0.0015164150555120762,-0.08223946401180186,-0.024003046187921505,0.012678701725520753,-0.0031731501192248197,0.04995673847357543,-0.011127228659137806,0.0036167099299467408,0.006306860461935937,-0.00023113361607614443,-0.0036688564311261364,0.05373963809370009,0.058636508977160814,-0.004359749832608804,-0.08906513316175288,-0.13463559119884183,-0.002438449758960799,0.04934760823396846,0.03442025001417749,0
TCGA-77-8008,0.0048504027398939,0.049753982215682516,0.00021749044169126346,-6.517710435896473e-07,-0.052624233364407864,0.005533227963015861,0.0003558578271115209,-0.04377733716929666,-0.05269685537457778,0.030270268805738364,-0.07766174635612379,0.011529694977491466,-0.01698667754819699,0.0035654047176873,0.17529689667558693,-0.016536029869299165,-0.0034939500633287776,0.04434563498000545,0.02034758616573036,-0.037949238575419916,-0.026451815179060107,-0.06029316185558944,-0.0004947286886425839,0.06961312354219934,0.014988636865935366,1
