,ACTB,ANO1,ARF1,BCAP31,BSG,CALM3,CFL1,CHCHD2,CHD3,CHMP4B,CHPF,CLIC1,CSRP1,DDIT4,DHCR7,EHD2,EIF1,FABP4,FMOD,FOSL1,FSCN1,FST,GRHL3,IL12RB2,KIAA1217,KRT18,LMAN2,LYZ,MBNL1,MORF4L2,MYL2,OSR2,PLS3,PPIB,PSMB5,RALB,RPL22L1,SDF2L1,SFRP1,SLC25A39,SLC25A5,TBC1D2,TMEM14C,TPM2,VDAC1,VDAC2,YWHAB,ZNF385A,class
GSM1607691,-0.004039251,-0.007519223,0.006149298,-0.032596899,6.25E-06,-0.000350295,0.006652371,-0.001631579,0.010388742,0.009024208,0.00572203,0.000948795,-0.007719807,-0.024327797,-0.000490792,-0.004680009,0.004020079,0.000414421,0.012467012,-0.00772931,0.012238232,0.003328853,0.019787185,0.003732323,0.006872179,-0.001500561,-0.001989051,0.000121504,0.02171945,-0.029312261,0.020740316,0.003261785,0.002517856,-0.011006094,-0.023746276,-0.017369571,-0.011341522,0.032591845,0.010419204,-0.019352255,0.001051905,-0.005468984,-0.015986717,-0.015910455,-0.004274223,0.002962846,-0.014129316,-0.020787139,1
GSM1607692,-0.003920485,-0.009674003,0.005802181,-0.036136829,6.71E-06,-0.000334323,0.00699888,-0.0016446,0.010550884,0.00872558,0.00635883,0.000921006,-0.008106803,-0.025196722,-0.000534761,-0.005312273,0.00388998,0.000468128,0.013182932,-0.00850008,0.013698157,0.00327734,0.017938901,0.003758676,0.006616022,-0.001447174,-0.002022365,0.00012846,0.020809096,-0.026905121,0.020686317,0.003297406,0.002303869,-0.011281676,-0.024499256,-0.017847768,-0.011241188,0.035895006,0.012669997,-0.021001898,0.001002586,-0.00614622,-0.015765641,-0.015807787,-0.004092351,0.002946333,-0.013867721,-0.021392256,1
GSM1607693,-0.003894689,-0.009740195,0.005589272,-0.03431116,7.14E-06,-0.000349745,0.006942407,-0.001621541,0.010703104,0.008760137,0.006917954,0.000949334,-0.008804094,-0.026983428,-0.000487423,-0.005715108,0.003780199,0.000648406,0.014320061,-0.008130419,0.013591782,0.002787045,0.014505885,0.00417865,0.007417974,-0.001452221,-0.002071083,0.000140311,0.020986599,-0.02855217,0.028110269,0.003350825,0.002388928,-0.011474918,-0.024082251,-0.017375638,-0.01173869,0.03509105,0.013802566,-0.020110099,0.000996056,-0.006039512,-0.01644375,-0.019359976,-0.003956216,0.002925261,-0.013766097,-0.019556953,1
GSM1607694,-0.003516614,-0.009928853,0.005860319,-0.035452159,6.36E-06,-0.000356429,0.006858109,-0.001645763,0.010601769,0.009082027,0.006528119,0.000927337,-0.008887355,-0.021147748,-0.000519556,-0.005174296,0.003861821,0.000566659,0.015413753,-0.007669809,0.012747731,0.002619573,0.015257059,0.003659703,0.007025228,-0.00145109,-0.002145921,0.000196554,0.020407494,-0.028689531,0.020445795,0.003248417,0.00227721,-0.012298414,-0.024396302,-0.015694081,-0.01137552,0.037232859,0.015010588,-0.020946536,0.000996292,-0.00552246,-0.016732429,-0.017211008,-0.003911888,0.002930392,-0.013908419,-0.018707379,1
GSM1607695,-0.003834306,-0.009135247,0.00574998,-0.032461072,6.16E-06,-0.000333035,0.00660761,-0.001590926,0.010340655,0.008986088,0.00599507,0.000907751,-0.008312606,-0.02396153,-0.000474021,-0.004640536,0.003982626,0.000442205,0.013661079,-0.00833652,0.012557257,0.002512759,0.020330089,0.003705613,0.007055048,-0.001453563,-0.001962737,0.000190824,0.02093246,-0.027623014,0.021825596,0.003223195,0.002365631,-0.010689224,-0.023015504,-0.017059039,-0.012088586,0.032985427,0.01388157,-0.020316697,0.001006836,-0.006088034,-0.016102476,-0.01520136,-0.004102276,0.002896058,-0.013826719,-0.020232837,1
GSM1607696,-0.003939738,-0.009520446,0.005628833,-0.033053022,7.21E-06,-0.000347338,0.006968737,-0.001781419,0.010558238,0.00882366,0.00680547,0.000892053,-0.00757403,-0.023080337,-0.00049318,-0.005274149,0.003807791,0.000648178,0.013356168,-0.007979113,0.013440291,0.002742549,0.018620869,0.004070025,0.006787949,-0.001446023,-0.001983863,0.000138712,0.020762912,-0.028865442,0.020452075,0.00329632,0.002458266,-0.011053912,-0.024403864,-0.017214898,-0.011458812,0.032572629,0.012709352,-0.020411103,0.001007571,-0.006086651,-0.015656891,-0.015895415,-0.004087322,0.00288455,-0.014260529,-0.02034649,1
GSM1607697,-0.003778654,-0.007209366,0.005806651,-0.03457466,7.16E-06,-0.000352093,0.007049914,-0.001623624,0.010603474,0.009083551,0.006633052,0.000944124,-0.008970246,-0.025944169,-0.000526296,-0.005060144,0.003883214,0.000431049,0.014236648,-0.007996776,0.012469555,0.002715437,0.015401042,0.003952689,0.006977009,-0.001494275,-0.002130855,0.000141768,0.020808533,-0.026712606,0.021303332,0.00331116,0.002079341,-0.011282738,-0.024927818,-0.015994208,-0.011038957,0.036446532,0.010439297,-0.020711123,0.000985744,-0.005850851,-0.016213123,-0.018700462,-0.003904351,0.002996477,-0.01379809,-0.020389567,1
GSM1607698,-0.003963373,-0.009110244,0.005587521,-0.033950084,6.93E-06,-0.000344677,0.006721363,-0.001641973,0.010514967,0.008985934,0.005975067,0.000941685,-0.007750735,-0.024666029,-0.000460801,-0.005434376,0.003784395,0.000454146,0.012788044,-0.00873349,0.013417538,0.003158277,0.016975656,0.004231359,0.006629353,-0.001440824,-0.002034492,0.000130265,0.02113146,-0.027671839,0.021357396,0.003276624,0.002322667,-0.011711816,-0.024758079,-0.017358159,-0.011628029,0.035120413,0.012662636,-0.020716739,0.000962221,-0.006331449,-0.015540042,-0.015554721,-0.003932478,0.002970447,-0.014296058,-0.020438852,1
GSM1607699,-0.003879432,-0.009900742,0.005807392,-0.033836844,7.18E-06,-0.000333881,0.006813815,-0.001610342,0.010629568,0.009239095,0.006008092,0.00095596,-0.008149164,-0.020835555,-0.000465992,-0.005038299,0.004051184,0.0005049,0.012875625,-0.008197789,0.012910515,0.002768577,0.017655001,0.004189869,0.007047562,-0.001455477,-0.002049642,0.000144937,0.020766684,-0.025423682,0.026528683,0.003248505,0.002074513,-0.010945089,-0.025156468,-0.016721489,-0.011437816,0.035452955,0.010729242,-0.022096625,0.000975377,-0.006006894,-0.015955826,-0.016830201,-0.003885825,0.002938682,-0.013665497,-0.02102542,1
GSM1607701,-0.00344035,-0.008622456,0.006145421,-0.033931259,6.68E-06,-0.000345651,0.006507107,-0.001615037,0.010860657,0.009026194,0.0065234,0.000893205,-0.008875131,-0.021030007,-0.000489863,-0.004678689,0.003865543,0.000508684,0.015503991,-0.007151007,0.011059027,0.002477861,0.014073818,0.003749965,0.007609864,-0.001458862,-0.002065004,0.000189894,0.020767275,-0.027113547,0.020717393,0.003231653,0.001996818,-0.011632734,-0.022656176,-0.016763335,-0.01139817,0.038517799,0.015665458,-0.020130105,0.000981826,-0.005315206,-0.016577035,-0.016306303,-0.003956259,0.00293682,-0.013697461,-0.01820306,1
