,ARSI,CCL26,EIF3D,GSTO1,GSTP1,HSP90AB1,INPP1,LMO4,POMP,PPP1R14B,PSMC3,RNASE7,RNF181,ROMO1,RPL12,RPS4X,S100A10,SBDS,SERPINE1,SPINK5,SPINK7,STIP1,TCEAL8,TMED10,TOMM34,TUBB6,ZMAT2,class
GSM1607801,-0.010033543,-0.09006863,0.006633174,0.02879513,0.001371509,0.003032024,0.007678029,0.033940192,-0.054462552,0.026048662,-0.024087301,-0.115898206,-0.064296948,0.025469294,-0.011553215,-0.001929202,-0.008674849,-0.027664349,0.000823476,-0.001436831,0.044249738,-0.014260256,-0.154091131,0.003549998,-0.041509352,-0.004603372,-0.051815911,0
GSM1607803,-0.010011604,-0.09878367,0.006629388,0.029056651,0.001435699,0.003018343,0.006983609,0.0371971,-0.050928863,0.025640792,-0.024184637,-0.138787366,-0.065757203,0.025150953,-0.011572265,-0.001890487,-0.008220405,-0.028040389,0.000930262,-0.001493242,0.046443325,-0.014378685,-0.16602056,0.003570441,-0.038757144,-0.00439904,-0.049048426,0
GSM1607806,-0.010135733,-0.090126646,0.006776789,0.025614912,0.001291948,0.003066838,0.006255083,0.042107533,-0.051576091,0.023514364,-0.025085996,-0.112116869,-0.066514906,0.024723766,-0.011589552,-0.002037304,-0.007483498,-0.025838464,0.000687203,-0.001412564,0.043283105,-0.013920319,-0.161641942,0.003635552,-0.041259128,-0.003940725,-0.052000897,0
GSM1607817,-0.009894995,-0.089299732,0.006728097,0.026481104,0.001330671,0.002926173,0.007250098,0.0396091,-0.052235265,0.023818719,-0.024098068,-0.153316163,-0.066631533,0.025155173,-0.011711627,-0.002125488,-0.007667786,-0.028023382,0.000706908,-0.00201861,0.057980868,-0.01317074,-0.160860121,0.003715292,-0.037372668,-0.00419839,-0.052323505,0
GSM1607824,-0.009941547,-0.088153997,0.006616787,0.025962553,0.00135481,0.003041318,0.007452317,0.036025305,-0.050719304,0.024437659,-0.024196083,-0.141510382,-0.064861668,0.025172766,-0.011144283,-0.001931677,-0.008024373,-0.028186437,0.000812675,-0.001912883,0.052186182,-0.013639767,-0.160923139,0.003538929,-0.039650481,-0.004561273,-0.049741812,0
GSM1607825,-0.01038718,-0.089829502,0.006733004,0.026062688,0.001394945,0.003200216,0.007027721,0.031827348,-0.050024653,0.02639272,-0.025448047,-0.143989104,-0.066269871,0.026288252,-0.010959689,-0.001855063,-0.00803409,-0.027948526,0.000879267,-0.001453093,0.047875941,-0.014752433,-0.161051877,0.003282703,-0.039250817,-0.005372534,-0.051819219,0
GSM1607829,-0.010097427,-0.089992066,0.006894982,0.027348843,0.00140933,0.003026883,0.007485133,0.033185279,-0.052381911,0.027982075,-0.025264389,-0.163716132,-0.065713788,0.025890256,-0.011251117,-0.00187827,-0.008617226,-0.02866618,0.000987328,-0.001312626,0.039281815,-0.015003454,-0.153204749,0.003618757,-0.039390677,-0.004560022,-0.051901589,0
GSM1607832,-0.010189566,-0.094890607,0.006478156,0.026515971,0.001362346,0.003011258,0.008430247,0.034937712,-0.049794045,0.026191209,-0.024618579,-0.115811544,-0.065762603,0.026536148,-0.010842937,-0.001858095,-0.007855048,-0.026900557,0.000816266,-0.001394382,0.040015797,-0.014563155,-0.1605061,0.003382028,-0.040991277,-0.004260829,-0.049392491,0
GSM1607841,-0.010274579,-0.101932796,0.006600531,0.02834856,0.001369503,0.003062763,0.007110886,0.031212527,-0.052626238,0.025659468,-0.025237458,-0.150565653,-0.067523967,0.026523223,-0.011208885,-0.001782594,-0.008381327,-0.028314249,0.000976466,-0.001570599,0.046052213,-0.014771713,-0.149170361,0.003250686,-0.041796793,-0.004673427,-0.051448868,0
GSM1607843,-0.009852331,-0.089588051,0.00644283,0.02756197,0.001422421,0.003087923,0.007343792,0.03992695,-0.051157944,0.024829432,-0.025056388,-0.114730621,-0.063591577,0.025377454,-0.0106756,-0.002026374,-0.007833398,-0.027572704,0.00087752,-0.001480663,0.041591788,-0.014413978,-0.160637825,0.003453628,-0.039076064,-0.004113802,-0.051409553,0
GSM1607849,-0.01027735,-0.089204553,0.006348546,0.028912716,0.001275442,0.002981448,0.0065214,0.033057482,-0.053290335,0.025084107,-0.024297473,-0.119076702,-0.065388509,0.024463256,-0.011003499,-0.001885478,-0.008157099,-0.02924302,0.001062847,-0.001369292,0.041070873,-0.013486934,-0.166972612,0.003548566,-0.038514438,-0.004603067,-0.051124845,0
GSM1607850,-0.009953133,-0.089575868,0.00693553,0.027927591,0.001326963,0.002829858,0.006293307,0.033270374,-0.051517659,0.024297229,-0.024363341,-0.122452318,-0.063934977,0.025126892,-0.011309331,-0.001953627,-0.008409383,-0.029940615,0.00098239,-0.001407182,0.042637336,-0.0131106,-0.157335254,0.00373092,-0.039686809,-0.004670291,-0.050619118,0
GSM1607851,-0.010212915,-0.089446178,0.006716876,0.027189241,0.001425094,0.002811902,0.006828511,0.032214646,-0.050956283,0.026937781,-0.023938898,-0.151090904,-0.066137067,0.026159735,-0.011184757,-0.001880807,-0.008473804,-0.029417866,0.000873376,-0.001573084,0.042825768,-0.013673223,-0.172082714,0.003965271,-0.039418729,-0.004893274,-0.053972094,0
GSM1607855,-0.010200165,-0.092556055,0.006794871,0.028870367,0.001417414,0.002934876,0.007544455,0.036891294,-0.051644883,0.02422455,-0.024154842,-0.139433882,-0.066649796,0.025845197,-0.011235151,-0.001995172,-0.007963112,-0.028754038,0.000715272,-0.00192064,0.050147244,-0.013574366,-0.166891129,0.003606725,-0.040556152,-0.004501894,-0.053865374,0
GSM1607856,-0.009907501,-0.091098201,0.006975309,0.027106532,0.00133663,0.003192669,0.007250122,0.033892859,-0.054265003,0.024624809,-0.024248365,-0.125793875,-0.066034542,0.025156502,-0.011147174,-0.001963163,-0.007956365,-0.02911661,0.000831154,-0.001519614,0.049587808,-0.013641625,-0.171742437,0.003915473,-0.039631088,-0.004477342,-0.052153976,0
GSM1607861,-0.010109501,-0.099235671,0.006559807,0.026489322,0.001375377,0.002988708,0.007600418,0.034657767,-0.051109203,0.02569856,-0.024324192,-0.148036829,-0.065475442,0.025399776,-0.011282558,-0.001840145,-0.008529083,-0.0280515,0.001082063,-0.00147989,0.044944775,-0.013952468,-0.154067015,0.003860135,-0.038221394,-0.004399689,-0.051472461,0
GSM1607862,-0.010063944,-0.087573581,0.006852816,0.027910021,0.001408696,0.003012666,0.006769565,0.031445509,-0.052561784,0.027219132,-0.026394787,-0.152304426,-0.066048008,0.027536233,-0.011451485,-0.001844186,-0.008040949,-0.024744983,0.000913309,-0.001461625,0.050018006,-0.014876166,-0.160904778,0.003211301,-0.039554868,-0.004796346,-0.052567703,0
GSM1607865,-0.010428366,-0.0874576,0.006730109,0.026762361,0.001413457,0.003050265,0.006276985,0.030945336,-0.05184438,0.026547534,-0.023570283,-0.134179198,-0.062570492,0.026049464,-0.011287741,-0.002038029,-0.008679611,-0.029644659,0.00095405,-0.001349929,0.040309386,-0.014005858,-0.155445686,0.00407295,-0.040808789,-0.004743057,-0.047566468,0
GSM1607867,-0.009864043,-0.092509127,0.006558458,0.026458909,0.00136506,0.003008551,0.007706518,0.037515273,-0.049495905,0.024532047,-0.023453056,-0.168860133,-0.065050934,0.025567693,-0.011408508,-0.001915613,-0.00811116,-0.028466804,0.000731237,-0.00200244,0.056832915,-0.013503519,-0.158259929,0.003394569,-0.039917545,-0.004117949,-0.051508566,0
