,ALDH3A1,BANF1,BTG1,CDC42EP4,CHGB,CTNNAL1,CXCL13,F3,FTH1,G6PD,GSTO1,GSTP1,HK1,KIAA1522,LAMC2,LMO4,MME,MT2A,NDUFA4,PGK1,PRPF19,PSMA7,PSMC3,PSMD2,RAN,RNASE7,ROMO1,RPL12,RPL36AL,RPS21,S100A10,SERPINE1,SOD1,SPP1,TCEAL8,TMBIM6,TMSB10,TNFRSF12A,TPI1,TRMT112,class
GSM1607779,0.001783943,0.010514195,0.025458443,0.007418722,-0.003833043,0.02434487,0.027196943,-0.002185801,-0.03903242,-0.004906269,0.017040672,0.002009807,-0.00374968,0.011661148,0.000611425,0.006160823,-0.003644205,-0.002675568,-0.003393557,-0.009635081,0.001187208,-0.029398865,-0.031658375,-0.000164346,0.012988008,-0.104734978,0.068165051,-0.013580049,-0.000375799,0.01497183,-0.006906881,0.002140698,-0.016385787,0.004724188,-0.129502907,-0.005015458,-0.00015921,-0.019657779,-0.000103347,0.01312524,0
GSM1607792,0.00218943,0.009608663,0.025188978,0.007103335,-0.003906113,0.028201321,0.02648029,-0.002477043,-0.037226366,-0.004975644,0.018897547,0.002036857,-0.00387021,0.011038482,0.0005612,0.006378818,-0.003485042,-0.003163908,-0.003362911,-0.009767103,0.001176179,-0.029431963,-0.031880867,-0.000157118,0.013328972,-0.105940548,0.070585755,-0.01414412,-0.000370636,0.016139987,-0.007503658,0.001924495,-0.016110697,0.00407178,-0.118814887,-0.004845468,-0.000152166,-0.018222634,-0.000102866,0.0133696,0
GSM1607795,0.001884602,0.009414865,0.026458252,0.008401013,-0.003938138,0.024826543,0.027031587,-0.002503473,-0.038324735,-0.004945637,0.0172727,0.001983513,-0.00378659,0.010775437,0.000632757,0.006455537,-0.003164779,-0.0034368,-0.003196473,-0.008992885,0.001274016,-0.02830657,-0.03295395,-0.000160389,0.011892969,-0.113760705,0.071587838,-0.014423603,-0.000351627,0.014412035,-0.006782877,0.002547131,-0.015607548,0.003665157,-0.116442486,-0.004788503,-0.000151536,-0.020340534,-0.000100861,0.012866558,0
GSM1607799,0.002100091,0.009698043,0.026968784,0.007436757,-0.00385673,0.026278585,0.025888855,-0.002525114,-0.035535948,-0.005054526,0.017557153,0.001980537,-0.003741609,0.011311521,0.000622943,0.006322722,-0.003279583,-0.002729278,-0.003213714,-0.009394153,0.001125514,-0.028668278,-0.031506061,-0.000165427,0.012434239,-0.117840286,0.070372165,-0.014207964,-0.000370769,0.014758583,-0.007058351,0.002124773,-0.015622602,0.003613143,-0.126712915,-0.004895919,-0.000154115,-0.01982415,-0.00010761,0.0132578,0
GSM1607801,0.001841661,0.010268168,0.024593663,0.007697207,-0.003999855,0.030678277,0.031099738,-0.002755045,-0.038669251,-0.004803603,0.018882303,0.0019886,-0.003656989,0.011380369,0.000730364,0.006362829,-0.003542472,-0.003274166,-0.003396586,-0.010070934,0.001162957,-0.029579917,-0.031544445,-0.000173954,0.013335477,-0.081587378,0.070701165,-0.01472133,-0.000378662,0.015849055,-0.007428096,0.002025953,-0.016560926,0.004666358,-0.119470966,-0.00496667,-0.000158284,-0.021700444,-0.000111049,0.013952495,0
GSM1607803,0.002350769,0.009986948,0.026908716,0.00799844,-0.003846833,0.029699967,0.029730566,-0.002285637,-0.042499064,-0.005840195,0.019053794,0.002081671,-0.00388664,0.010848187,0.00066856,0.006973407,-0.003795366,-0.002747738,-0.003248647,-0.009615624,0.001188428,-0.029556128,-0.031671915,-0.000173198,0.012747493,-0.097700368,0.069817472,-0.014745604,-0.000367708,0.015495982,-0.007038965,0.002288674,-0.016104838,0.004686077,-0.12872017,-0.004643821,-0.00015367,-0.019302515,-0.000112632,0.013631744,0
GSM1607806,0.001451745,0.009715209,0.025857998,0.008133421,-0.003891464,0.024358453,0.028163714,-0.002052247,-0.042390199,-0.004944722,0.016796886,0.001873241,-0.003625396,0.010833311,0.000549506,0.007893975,-0.003182068,-0.002951399,-0.003380445,-0.009125103,0.001260809,-0.029350866,-0.032852324,-0.000161884,0.011774236,-0.078925479,0.068631628,-0.014767632,-0.000351715,0.015261463,-0.006407967,0.00169069,-0.017086797,0.004978081,-0.125325311,-0.004693324,-0.000150813,-0.01670971,-0.000101311,0.013411785,0
GSM1607817,0.001856584,0.010146003,0.027361102,0.008043792,-0.003958081,0.025350142,0.038895052,-0.002057597,-0.037387853,-0.004907962,0.017364889,0.001929388,-0.003632888,0.010536309,0.000499965,0.007425589,-0.003611389,-0.002451568,-0.003355259,-0.009372546,0.00115366,-0.029094201,-0.031558545,-0.000153862,0.012537747,-0.107928019,0.069829185,-0.014923182,-0.000393988,0.014922038,-0.006565769,0.001739167,-0.015913985,0.003861045,-0.124719144,-0.004946717,-0.000148905,-0.01603708,-0.000106993,0.013881574,0
GSM1607824,0.001800952,0.009968134,0.026354251,0.008017562,-0.003746075,0.026228011,0.033504434,-0.002280685,-0.039830833,-0.005066496,0.017024851,0.001964388,-0.003601104,0.010687363,0.000597048,0.006753729,-0.003383029,-0.003075428,-0.003275772,-0.009374174,0.001179436,-0.028894587,-0.031686904,-0.000169432,0.01236623,-0.099617254,0.069878024,-0.014200261,-0.000362332,0.015016342,-0.006871108,0.00199938,-0.015740379,0.004406615,-0.124768004,-0.004799454,-0.000150039,-0.018325784,-0.000104571,0.013616129,0
GSM1607825,0.00201812,0.010240139,0.025805443,0.007843647,-0.003782288,0.025045884,0.026054561,-0.002291838,-0.03758427,-0.005322103,0.017090514,0.00202258,-0.00364239,0.011506948,0.000790085,0.00596673,-0.003726665,-0.002970117,-0.003437946,-0.009465441,0.001244476,-0.028875719,-0.033326462,-0.000169574,0.012101767,-0.101362169,0.072974542,-0.013965047,-0.000371133,0.01567219,-0.006879428,0.002163214,-0.015913168,0.00395815,-0.124867817,-0.004849629,-0.000154009,-0.02038633,-0.000109959,0.014051441,0
