,ALDH3A1,APRT,ARL4D,CALML5,CAMK2N1,CCL19,CDKN2A,CHGB,F2RL1,F3,FTH1,FXYD5,GAPDH,HSP90AA1,HSP90AB1,IL1A,KIAA1522,KLF3,LYPLA2,MME,NQO1,PGK1,PLA2G4A,POLR2L,PSMB3,PSMB7,RAN,RBP1,RNASE7,RPS21,SERPINE1,SOD1,SPINK6,TMBIM6,TNFRSF1A,TOMM22,TPI1,TRMT112,USP14,class
GSM1607816,0.001601727,-0.011770822,-0.034643621,0.002724664,-0.026671328,0.003838571,0.047205106,-0.00379279,0.004780076,-0.004132303,-0.048275339,-0.005847447,-0.003531795,-2.81E-05,0.002490925,-0.004975636,0.013013586,0.000970029,-0.016099555,-0.003422848,-0.002824871,-0.006461276,0.045682198,0.003543547,-0.012930186,-0.020922412,0.000261904,-0.006074949,-0.092595059,-0.004210233,0.001602032,-0.02452795,0.032955956,-0.009315385,0.001433618,0.009553962,0.005759531,0.008502432,-0.003100261,1
GSM1607818,0.002437128,-0.011958406,-0.036204804,0.004057317,-0.027397467,0.004369612,0.04776321,-0.00293589,0.00495168,-0.003739651,-0.037879197,-0.005249554,-0.00344348,-2.78E-05,0.002648209,-0.00394205,0.013965604,0.000985079,-0.01585926,-0.002706759,-0.002844322,-0.006321051,0.044754513,0.003480234,-0.013214398,-0.021479183,0.000291455,-0.006375075,-0.101333717,-0.004069127,0.00151038,-0.026592505,0.032520553,-0.009461411,0.001326572,0.010119952,0.005950841,0.00870153,-0.0030287,1
GSM1607819,0.002853027,-0.012362002,-0.039344782,0.002948159,-0.029426483,0.003694023,0.06354121,-0.002913114,0.00581083,-0.003855333,-0.039011121,-0.00532678,-0.003521927,-2.95E-05,0.002517044,-0.004977077,0.014250946,0.000975681,-0.016271862,-0.003032398,-0.003442133,-0.006447336,0.046175152,0.00352175,-0.013566492,-0.021699882,0.000283989,-0.00744049,-0.102928976,-0.004152511,0.001962294,-0.023738239,0.0328925,-0.009324901,0.001387449,0.00977087,0.006126253,0.008841077,-0.003021744,1
GSM1607820,0.002999216,-0.012484353,-0.036875264,0.002744311,-0.025839012,0.003368189,0.047102939,-0.002899773,0.00550758,-0.003562709,-0.039576551,-0.005658447,-0.003516114,-2.80E-05,0.002591553,-0.003811955,0.014574077,0.000977579,-0.016435042,-0.002653627,-0.003000154,-0.00666047,0.053338694,0.003624068,-0.014001419,-0.021071849,0.000293782,-0.005075527,-0.111508709,-0.004571379,0.00134206,-0.02537496,0.032743927,-0.009216877,0.001372139,0.010538578,0.005943956,0.009444882,-0.003024206,1
GSM1607821,0.003084565,-0.012675825,-0.03806933,0.003815245,-0.02500341,0.003689207,0.044218684,-0.003080897,0.005350071,-0.003918165,-0.039649457,-0.005162873,-0.003499772,-2.72E-05,0.002419909,-0.004852471,0.014785175,0.000973295,-0.016364348,-0.00270287,-0.003296207,-0.006385576,0.04641585,0.003722321,-0.013110037,-0.021134014,0.000286795,-0.006864889,-0.10344676,-0.004332892,0.001311801,-0.024468689,0.031831513,-0.008900059,0.001313051,0.01000771,0.005924345,0.009006578,-0.002975735,1
GSM1607822,0.001990145,-0.011823255,-0.034846828,0.004096216,-0.026699904,0.003555083,0.061322381,-0.003119351,0.005100851,-0.003309321,-0.048085784,-0.005246716,-0.00349075,-2.90E-05,0.00258176,-0.003820996,0.014120061,0.001008711,-0.016518865,-0.003286372,-0.003037009,-0.006348229,0.046884531,0.003665624,-0.013747531,-0.023737859,0.000286387,-0.006045457,-0.093869411,-0.003989307,0.001516334,-0.025137977,0.046663749,-0.009358949,0.001425565,0.009938275,0.006026319,0.009043605,-0.003113666,1
GSM1607823,0.002395695,-0.012082581,-0.037379921,0.004350097,-0.02993149,0.004675308,0.051793345,-0.00389111,0.005588108,-0.00390271,-0.038801938,-0.006067914,-0.003286823,-2.82E-05,0.002480199,-0.004116506,0.013856754,0.000981485,-0.016861614,-0.002903495,-0.003001229,-0.006568669,0.046402935,0.003432992,-0.013705211,-0.022343075,0.000268194,-0.007443364,-0.126683951,-0.004244166,0.001600029,-0.024356626,0.031761144,-0.009194135,0.001350275,0.01026204,0.00585946,0.008722331,-0.00288487,1
GSM1607826,0.002379389,-0.012317024,-0.037279915,0.00366248,-0.028204797,0.004244944,0.044727302,-0.003380354,0.004891216,-0.003730413,-0.038464957,-0.005794452,-0.00331594,-2.85E-05,0.00251193,-0.003959886,0.014315835,0.000967664,-0.016768126,-0.002965922,-0.002777842,-0.006205738,0.042996932,0.003599401,-0.013700366,-0.022538321,0.000273474,-0.006782656,-0.108405821,-0.0042024,0.001391823,-0.025894799,0.044315531,-0.009490692,0.001382416,0.009899613,0.005568447,0.008868257,-0.003067135,1
GSM1607827,0.002429321,-0.011152434,-0.036023385,0.003941859,-0.024849057,0.003547771,0.060214617,-0.003018051,0.004729515,-0.00328151,-0.039230852,-0.005178449,-0.003703518,-2.76E-05,0.002528169,-0.004134194,0.013599817,0.000965075,-0.015968537,-0.002751805,-0.002664897,-0.006273914,0.050076241,0.003376892,-0.013408806,-0.021509548,0.000285936,-0.006443771,-0.106047912,-0.004536221,0.001407043,-0.023627677,0.032431238,-0.009259931,0.001430636,0.009826536,0.006215748,0.008938331,-0.002796696,1
GSM1607828,0.00278168,-0.011916401,-0.039691465,0.003225789,-0.029320157,0.003471012,0.04543186,-0.002837289,0.006113423,-0.004042337,-0.040304913,-0.005509229,-0.00342318,-2.81E-05,0.002527304,-0.00434593,0.014640144,0.000985443,-0.01608556,-0.00278897,-0.003075445,-0.006581341,0.047672069,0.003721097,-0.013398786,-0.022359794,0.000291201,-0.00661657,-0.116667213,-0.00439363,0.001522748,-0.024910839,0.034069126,-0.00926177,0.001320731,0.009882746,0.005791391,0.00950873,-0.00305893,1
