feature,coefficient
H2AZ1,-0.0003255855108554536
NUDC,-0.0003722042021434788
HSP90AB1,4.9163723269841096e-05
MARCKSL1,-0.0001704540638876012
HTATIP2,-0.0012521048789983504
ZWINT,-0.0012929689987463623
RTL8C,7.059632757752156e-05
SPP2,2.6741523535523734e-05
TPI1,0.00011237107049191845
SRM,-0.00044644683877120785
FAM50A,-9.222346222363013e-05
ADH1C,8.862667207451595e-05
NPM1,-0.000230703339506593
S100A16,6.49907131244004e-05
LAPTM4B,-3.612169460619742e-05
H2AX,-0.00031706083435033863
CDC20,-0.0004224114583151317
GSR,-0.0005670834252349441
PPIA,-0.00047539354849237376
RPN2,7.489231606958888e-05
TIMM23,-0.0005732086694454437
BRK1,0.00012547337418681293
LAGE3,-1.9745698127439157e-05
