feature,coefficient
SLC17A2,4.8971929475659826e-05
PRDX1,-8.601041044405008e-05
PPIA,-0.0008098601830773081
G6PD,-4.626652161073734e-05
GSR,-0.0001656138873944324
KIAA2013,-0.00019199018588902554
ALAD,0.0004742019012186666
BAMBI,-2.451604114835197e-05
HTATIP2,-0.000883143715699791
SRM,-0.0004823906030353585
HSP90AB1,3.630914534071194e-05
SEC61A1,-0.0006087994756989272
GAPDH,-0.00010334510135231775
ENO1,5.4143722236184846e-05
NCL,-0.0002862255592559465
CDC20,-0.0014465979188848994
DNAJC1,-0.0014393146403815357
LDHD,0.0002059885592512211
DDOST,0.0004348731782297238
PAGE1,-4.36480380213906e-05
SF3B5,-3.626035071976605e-05
TPI1,0.00035174324961905157
FTCD,-4.624722076253388e-05
DDIT3,3.135053911241645e-05
RTN3,-0.00011281307993007655
PSMA7,-4.132111272455225e-05
