feature,coefficient
DDOST,0.00019596503931512425
PTTG1,-0.0007804703460017791
KIAA2013,-0.00013510820059919955
ARCN1,0.000250500510183939
PON1,0.0003213253916392469
GPLD1,0.0007131431837315173
SEC61A1,-0.0006186247458957453
S100A16,3.875429061990324e-05
PAEP,9.778050668030477e-05
CA9,6.28314892979845e-05
NUDC,-0.00015517547263808824
DAP,0.00011956919224616658
EIF3D,0.00014362591860368453
HDGF,-0.0003150127598205867
LSM10,-0.00217894109100786
FAM50A,-3.6046158329676044e-07
PCNA,-0.00038543158039527485
DAD1,-0.00011338296060861896
SPP1,8.212635451811613e-07
AGR2,0.00046341771876355143
HSPA8,-0.0002488673178024176
HTATIP2,-0.0006302156548131467
HSPD1,-0.0002380072468287545
BRK1,0.00021392578726737633
ILF2,0.0004197872080369792
SLC25A15,0.00017668039779705725
SLC17A2,0.00031027668053964765
RAMP3,0.0017680413033955005
