feature,coefficient
SMG5,-0.0006120219193023644
SEC14L2,0.0001382808984094816
ARCN1,0.0003402814435450034
LDHD,0.00038138556284583204
KIAA2013,-1.0880785573956703e-05
CDC20,-0.00042323810662859077
DRAP1,-0.0002315029907838513
HSPD1,-0.0004790563424741593
PSMA7,-0.00015601493668273623
HSPA8,-0.0002083489312281342
MMP12,0.0006691499199564199
HMGA1,2.3347023889124106e-05
CKS2,-0.0005528786155143778
RPN2,0.0004576325795575493
SPP2,2.226269021974562e-05
G6PD,-0.00011345116715530983
ADH1A,2.6806936819486986e-05
S100A16,0.00012356566314895167
PPIA,-0.0006692316454400957
GSR,-0.000331401094889952
SEC61A1,-0.0007522362944118844
DSG2,0.00025589206632829764
ATF4,-7.952238010167182e-05
