,APEX1,CD63,CKS2,FAM50A,HDGF,HSPA8,HTATIP2,MMP12,PAEP,PPIA,PRDX1,PSMA7,RAB10,RAMP3,RPN2,SEC61A1,SPP2,VASP,class
GSM3212463,-0.088818062,0.015164584,-0.570577371,-0.019425642,-0.012067716,-0.0183302,-0.076788764,0.018004088,0.005008225,-0.08019101,-0.008147453,-0.050305095,-0.049726988,0.177663284,0.061646717,-0.0593268,0.000240081,0.03241618,1
GSM3212464,-0.090324031,0.015067875,-0.57120195,-0.019436299,-0.011640596,-0.020318721,-0.077864378,0.028194232,0.005291693,-0.081462178,-0.00845766,-0.047194035,-0.052145059,0.145985881,0.060602947,-0.062934076,0.000221018,0.037936412,1
GSM3212465,-0.097488746,0.015624162,-0.564299763,-0.019295171,-0.011892737,-0.022321559,-0.078677669,0.081458654,0.005395519,-0.084047147,-0.008277286,-0.050811963,-0.051143423,0.172553932,0.059261684,-0.049621402,6.45E-05,0.041608057,1
GSM3212467,-0.091962728,0.014343741,-0.481273763,-0.018650667,-0.012456814,-0.021232269,-0.068217362,0.017779723,0.005645921,-0.074604115,-0.008429563,-0.050532279,-0.045617962,0.181500155,0.06136755,-0.054956521,0.000290827,0.034222232,1
GSM3212469,-0.091345929,0.015279176,-0.522203656,-0.019117346,-0.012057271,-0.021834005,-0.075919452,0.016723206,0.005477242,-0.080343145,-0.008057336,-0.048797556,-0.048645276,0.153231981,0.061184449,-0.056676769,0.000293731,0.037321316,1
GSM3212470,-0.08897433,0.014459187,-0.58788047,-0.018017861,-0.011886034,-0.020831994,-0.084726536,0.050342945,0.004598106,-0.081073947,-0.008161393,-0.048364045,-0.049168574,0.174401432,0.056826352,-0.057988334,0.000211551,0.03879845,1
GSM3212471,-0.091367959,0.014924972,-0.616053912,-0.017833938,-0.011543572,-0.021896055,-0.089099293,0.014740168,0.005008083,-0.082626359,-0.008386564,-0.049298467,-0.049938862,0.16308666,0.058616715,-0.053823431,0.000256122,0.03301841,1
GSM3212472,-0.090409731,0.014738737,-0.541475873,-0.017125586,-0.012458595,-0.021513375,-0.086945742,0.04260945,0.005138898,-0.078658748,-0.008038963,-0.048857246,-0.047786064,0.1958606,0.059836098,-0.057220027,0.000238306,0.034203463,1
GSM3212474,-0.090567987,0.014672725,-0.494347467,-0.017267038,-0.011815494,-0.0194257,-0.071681371,0.015401918,0.004664049,-0.08181179,-0.007758101,-0.048062015,-0.04833259,0.197875431,0.056207567,-0.060224294,0.000231072,0.033457362,1
GSM3212475,-0.093323377,0.017493714,-0.5432432,-0.021547533,-0.010776767,-0.018193043,-0.06131579,0.051564096,0.005086112,-0.085666376,-0.007803388,-0.046721289,-0.053290752,0.178549107,0.052883285,-0.059306435,6.48E-05,0.044057406,1
GSM3212476,-0.087290719,0.014405905,-0.44504371,-0.0189733,-0.012496376,-0.022243557,-0.090867407,0.014140238,0.005471438,-0.078664765,-0.008495417,-0.050003326,-0.047161026,0.207442739,0.057837028,-0.052495497,0.000291308,0.035763266,1
GSM3212477,-0.091355052,0.014366416,-0.574829339,-0.017972582,-0.012095233,-0.02237076,-0.077633834,0.05983824,0.005021309,-0.076732934,-0.008377584,-0.047520259,-0.046358446,0.102049678,0.065114938,-0.05333078,0.000136252,0.032499084,1
GSM3212478,-0.091604374,0.015135905,-0.575996301,-0.020885711,-0.012090595,-0.021815555,-0.095128275,0.016951257,0.005429002,-0.08302005,-0.008514361,-0.048470762,-0.0498606,0.153316942,0.062278991,-0.056085093,0.000222608,0.034884978,1
GSM3212479,-0.095480134,0.014896498,-0.506143535,-0.016446145,-0.012638684,-0.022110711,-0.073908604,0.026658556,0.004628606,-0.080347568,-0.007734164,-0.044959176,-0.047394001,0.190260661,0.05815116,-0.054381149,0.000308904,0.036930691,1
GSM3212480,-0.088842481,0.016487249,-0.672969142,-0.021545122,-0.012821115,-0.021895781,-0.075670928,0.07102928,0.004529714,-0.082014386,-0.008767987,-0.049022245,-0.054073866,0.114218047,0.060001525,-0.062395569,6.19E-05,0.041539801,1
GSM3212481,-0.092413186,0.015829698,-0.506087415,-0.018369603,-0.011023392,-0.021905999,-0.073032696,0.056008743,0.005441204,-0.078840467,-0.008002083,-0.048416665,-0.048268003,0.225674838,0.060088539,-0.05697604,0.000228664,0.039821379,1
GSM3212482,-0.094178194,0.014924132,-0.59500707,-0.019120581,-0.011963944,-0.021294188,-0.071933732,0.071613498,0.014410425,-0.082040368,-0.008418518,-0.046186038,-0.048921842,0.108945808,0.062588234,-0.054993904,6.96E-05,0.037564476,1
GSM3212483,-0.093110114,0.014539118,-0.581908705,-0.019169449,-0.011148362,-0.022910193,-0.081950857,0.023678082,0.005513871,-0.080629033,-0.007827305,-0.049836849,-0.048730874,0.199523316,0.058995987,-0.054283317,0.000190791,0.032007099,1
