,ALAD,BAMBI,CDC20,DDIT3,DDOST,DNAJC1,ENO1,FTCD,G6PD,GAPDH,GSR,HSP90AB1,HTATIP2,KIAA2013,LDHD,NCL,PAGE1,PPIA,PRDX1,PSMA7,RTN3,SEC61A1,SF3B5,SLC17A2,SRM,TPI1,class
GSM3212470,0.03322468,-0.00453399,-0.246959522,0.007714747,0.058399958,-0.176597979,0.00593374,-0.004019911,-0.00268527,-0.018094514,-0.012959026,0.003957533,-0.123409511,-0.008504845,0.020841931,-0.017367916,-0.005210129,-0.10039716,-0.028674576,-0.010108911,-0.007406422,-0.049151863,-0.021528208,0.004707951,-0.073685916,0.059768507,1
GSM3212471,0.038046084,-0.002123698,-0.191930914,0.006755523,0.055784306,-0.191955754,0.005973772,-0.004019332,-0.0026157,-0.018499962,-0.013519987,0.003978624,-0.129778706,-0.011066631,0.020158461,-0.016717278,-0.024453035,-0.102319576,-0.029465699,-0.010304221,-0.007444714,-0.045621622,-0.022369568,0.004689953,-0.076651619,0.064067168,1
GSM3212472,0.035949772,-0.003178761,-0.173106391,0.006563258,0.060237832,-0.178779645,0.005881322,-0.003869111,-0.002460961,-0.018258432,-0.012153786,0.004034706,-0.126641923,-0.009189142,0.021972775,-0.017636187,-0.005284185,-0.097406322,-0.028244424,-0.010211998,-0.007313073,-0.048500633,-0.020258473,0.006184559,-0.08125338,0.062288741,1
GSM3212474,0.038622071,-0.001439009,-0.155307049,0.007005033,0.060052012,-0.175827574,0.006075629,-0.005726938,-0.002083402,-0.019099913,-0.012588417,0.003680069,-0.104408411,-0.010635062,0.02354317,-0.016495048,-0.016740311,-0.101310861,-0.027257631,-0.010045782,-0.00805332,-0.051047099,-0.021475166,0.007906187,-0.077774967,0.064696248,1
GSM3212475,0.028623999,-0.003524709,-0.176451569,0.007905313,0.055515027,-0.157702267,0.006118371,-0.001875367,-0.003262777,-0.019957843,-0.013085956,0.00343486,-0.089310292,-0.010014748,0.018619769,-0.017505282,-0.005247602,-0.106084151,-0.027416746,-0.009765547,-0.00825327,-0.050269107,-0.021162779,0.002005433,-0.081786981,0.067012327,1
GSM3212476,0.035333784,-0.003641699,-0.156849214,0.007280346,0.060505972,-0.175518773,0.005725176,-0.004884127,-0.002375625,-0.017173844,-0.015794603,0.004809484,-0.132354075,-0.007970523,0.026165731,-0.017489732,-0.005807532,-0.097413773,-0.029848149,-0.010451549,-0.007576509,-0.044496044,-0.022527814,0.005982879,-0.073972114,0.05770113,1
GSM3212477,0.031587072,-0.003837044,-0.232162019,0.00810308,0.064880123,-0.199594142,0.006819781,-0.001433224,-0.002387517,-0.018801124,-0.015374273,0.00422486,-0.113078546,-0.011512179,0.018635385,-0.017868077,-0.009225039,-0.095021508,-0.02943415,-0.009932545,-0.007657193,-0.045204043,-0.020635716,0.005734198,-0.07821494,0.06692217,1
GSM3212478,0.033943997,-0.001089036,-0.163489418,0.007149967,0.065633215,-0.209203696,0.006232966,-0.004169776,-0.002980681,-0.019530951,-0.019430533,0.003836839,-0.138560295,-0.008659177,0.018458378,-0.017903293,-0.005605751,-0.102807099,-0.029914708,-0.010131217,-0.007980856,-0.047538645,-0.021747067,0.004511862,-0.08709378,0.06390474,1
GSM3212479,0.038123866,-0.003892329,-0.179690911,0.007098344,0.060937162,-0.170652735,0.005419536,-0.003796805,-0.002362109,-0.018106195,-0.013105903,0.004844569,-0.107652515,-0.009410033,0.015384002,-0.018700872,-0.005960069,-0.099497656,-0.027173531,-0.009397235,-0.007632227,-0.046094354,-0.02099503,0.005611055,-0.065748661,0.058553831,1
GSM3212480,0.03072579,-0.004489354,-0.254126903,0.009263831,0.062387688,-0.196806245,0.006877053,-0.001110637,-0.004700922,-0.018896399,-0.013990726,0.003746333,-0.11021945,-0.009320213,0.013187726,-0.018091739,-0.006033123,-0.101561744,-0.030805809,-0.010246486,-0.008038834,-0.052887507,-0.022227711,0.002086317,-0.08279395,0.063634759,1
GSM3212481,0.031658184,-0.003217646,-0.15552684,0.007091944,0.061569546,-0.167362077,0.005903448,-0.00326003,-0.00254741,-0.018446197,-0.012904422,0.004248282,-0.1063767,-0.008858806,0.015905713,-0.017250662,-0.00601757,-0.097631351,-0.028114848,-0.010119909,-0.007612061,-0.048293825,-0.022082919,0.00474083,-0.080925053,0.06115109,1
GSM3212482,0.027112159,-0.001120675,-0.264317466,0.008166219,0.05830236,-0.155921061,0.006506708,-0.003170484,-0.002762669,-0.020186288,-0.012675876,0.003570576,-0.10477599,-0.009062784,0.016073632,-0.017716869,-0.005512749,-0.101593919,-0.029577969,-0.00965367,-0.008039394,-0.046613735,-0.022567599,0.004027168,-0.095861035,0.066033053,1
GSM3212483,0.036991688,-0.001570624,-0.185007741,0.007975303,0.061337043,-0.176206243,0.005996655,-0.004114418,-0.00239993,-0.018082246,-0.013838021,0.004278249,-0.11936656,-0.009746929,0.022685925,-0.016687018,-0.005570704,-0.099846205,-0.027500776,-0.010416752,-0.007723533,-0.04601143,-0.021949531,0.007340831,-0.073959271,0.060106344,1
GSM3212484,0.036783871,-0.002009301,-0.256648762,0.007393409,0.066891129,-0.155754475,0.006320259,-0.002754337,-0.002863233,-0.018545417,-0.013434486,0.004248513,-0.11630522,-0.009787927,0.0251612,-0.016866401,-0.024345262,-0.098703153,-0.029850389,-0.010275064,-0.007921384,-0.050822618,-0.024269448,0.006606485,-0.069746891,0.061086084,1
GSM3212488,0.037109794,-0.003724787,-0.132440095,0.007193351,0.056723532,-0.163953416,0.005745166,-0.00473751,-0.002581176,-0.019038066,-0.014371631,0.004953781,-0.135974539,-0.008968264,0.022139974,-0.01780091,-0.006325961,-0.101333199,-0.027923729,-0.010154066,-0.007202469,-0.04827228,-0.022920056,0.005868995,-0.069632289,0.06196776,1
GSM3212489,0.041497468,-0.003347152,-0.107954851,0.007445168,0.064032124,-0.142638703,0.005853604,-0.004587069,-0.002204127,-0.018124485,-0.01131482,0.00473282,-0.114006779,-0.010940701,0.024632901,-0.017718604,-0.006010429,-0.099722563,-0.027110283,-0.010255818,-0.006906133,-0.045256968,-0.020726428,0.008680382,-0.077687458,0.062567527,1
GSM3212490,0.032017807,-0.003566896,-0.134808665,0.008904995,0.063827632,-0.158749696,0.006388073,-0.001694622,-0.002705407,-0.01887358,-0.012867286,0.003819776,-0.118124691,-0.010168775,0.015133571,-0.017739773,-0.005252419,-0.103730144,-0.025334842,-0.009756971,-0.008270564,-0.052942748,-0.022879184,0.001821482,-0.068647656,0.064558215,1
GSM3212491,0.033549044,-0.004457573,-0.233310925,0.009269779,0.05894146,-0.158990916,0.006642608,-0.002124997,-0.003632084,-0.019660292,-0.01527007,0.004400849,-0.1379645,-0.009436375,0.022424845,-0.018415169,-0.005454016,-0.10300053,-0.029499841,-0.01016508,-0.008331425,-0.048999338,-0.021914168,0.007105849,-0.080333741,0.066983699,1
GSM3212492,0.039206802,-0.002049841,-0.158156413,0.005938031,0.056208828,-0.184611738,0.005464752,-0.00364194,-0.002070351,-0.01820556,-0.014230041,0.003708752,-0.113392906,-0.008261314,0.021700839,-0.017588732,-0.00574208,-0.099239764,-0.029336582,-0.0096559,-0.008015,-0.046635201,-0.02178424,0.006517641,-0.059677275,0.062255651,1
GSM3212493,0.042303469,-0.003721255,-0.116506385,0.006859198,0.060953593,-0.165567594,0.005727261,-0.004907211,-0.002034387,-0.018238807,-0.015202952,0.005064147,-0.122024517,-0.008397418,0.02065396,-0.017779468,-0.006519958,-0.100056955,-0.030299811,-0.010634368,-0.00662203,-0.049751836,-0.022935017,0.007111654,-0.072869874,0.06158548,1
GSM3212494,0.038536111,-0.001694389,-0.219571513,0.008293408,0.057768141,-0.190521324,0.006462996,-0.003932589,-0.002062906,-0.019043562,-0.012062212,0.004427846,-0.117301393,-0.008802793,0.015194588,-0.017817899,-0.007036646,-0.101295568,-0.029537207,-0.010952304,-0.007876558,-0.045069643,-0.023797033,0.00716304,-0.079946157,0.065104748,1
GSM3212495,0.037913554,-0.00394332,-0.207079825,0.008901708,0.06097895,-0.171444024,0.00555713,-0.003461432,-0.002340944,-0.01870077,-0.009691818,0.00410966,-0.124388556,-0.010571479,0.020436445,-0.01774637,-0.008661946,-0.100600063,-0.02853453,-0.010587164,-0.007837084,-0.046806889,-0.021266304,0.007418308,-0.082794906,0.061869937,1
GSM3212498,0.029264569,-0.003477197,-0.200653414,0.007060806,0.057050838,-0.163245141,0.006004072,-0.004671195,-0.002484978,-0.019089693,-0.012682369,0.00475516,-0.11831959,-0.009649274,0.013712624,-0.01985307,-0.005132407,-0.101021682,-0.027667375,-0.010656728,-0.007188854,-0.046041044,-0.023251675,0.006918357,-0.07815655,0.064635462,1
GSM3212501,0.032547972,-0.003782589,-0.229515126,0.009267793,0.062919129,-0.175417304,0.006364086,-0.003620928,-0.002544331,-0.018932544,-0.012915487,0.004294759,-0.111184372,-0.009769486,0.021002694,-0.017222717,-0.013888741,-0.099023409,-0.028130088,-0.01021603,-0.007820691,-0.051883123,-0.02283573,0.00710607,-0.078070661,0.065401705,1
GSM3212502,0.03949657,-0.004215227,-0.173420859,0.008044664,0.05743268,-0.187546608,0.006140693,-0.003775501,-0.003078762,-0.01766372,-0.01380434,0.004229379,-0.116807953,-0.00846459,0.023806749,-0.016407425,-0.005655354,-0.100406948,-0.029924226,-0.011037036,-0.007377663,-0.046004314,-0.022880909,0.00743267,-0.066597033,0.061557025,1
GSM3212503,0.035366388,-0.004043802,-0.182619201,0.006849866,0.057722207,-0.175923761,0.005971885,-0.004327816,-0.002492867,-0.018595673,-0.009541179,0.004951788,-0.095636949,-0.009385288,0.015845767,-0.017836033,-0.006360977,-0.101288601,-0.029270715,-0.010542721,-0.007824531,-0.04620438,-0.022513176,0.002715836,-0.075942181,0.06079016,1
GSM3212504,0.032888966,-0.00202273,-0.230479155,0.008499919,0.063019792,-0.173366368,0.006755131,-0.00415313,-0.0024693,-0.018975344,-0.01318323,0.004267157,-0.130602318,-0.010560718,0.029485869,-0.016840683,-0.019767069,-0.101884599,-0.029844469,-0.010407213,-0.007851472,-0.04933448,-0.023428523,0.002858895,-0.083364496,0.061677248,1
GSM3212505,0.034453573,-0.003706219,-0.165699834,0.007460221,0.04858804,-0.20051324,0.005411117,-0.004702555,-0.002744713,-0.017679027,-0.012163345,0.003520625,-0.112716648,-0.009733718,0.019806114,-0.017330723,-0.006243856,-0.098183968,-0.026757283,-0.009815087,-0.007521324,-0.047140375,-0.021578824,0.006584259,-0.064718181,0.059623842,1
GSM3212506,0.036665595,-0.003078339,-0.127759983,0.006097421,0.061622288,-0.185430841,0.005715301,-0.005034298,-0.002427433,-0.018512748,-0.013125955,0.003512368,-0.113110386,-0.009829552,0.024124192,-0.016713018,-0.005233336,-0.094366847,-0.027327351,-0.010030388,-0.007405991,-0.046626538,-0.021426103,0.006695803,-0.068871156,0.060675414,1
GSM3212507,0.028743131,-0.004142533,-0.251651051,0.008170259,0.063489897,-0.178326989,0.006765706,-0.003036992,-0.004017787,-0.019508153,-0.01460444,0.004210152,-0.118711798,-0.009107115,0.021470565,-0.018468294,-0.014847467,-0.099697362,-0.029675323,-0.010186915,-0.007126237,-0.049276325,-0.021431781,0.006584891,-0.084557547,0.065973801,1
GSM3212508,0.038119105,-0.002044583,-0.210888107,0.007272041,0.05967408,-0.191128629,0.006239925,-0.004368957,-0.002405492,-0.018034887,-0.0145578,0.00386416,-0.121825094,-0.008429056,0.026380853,-0.017107066,-0.005682502,-0.09769338,-0.029345032,-0.010509097,-0.008067003,-0.048772501,-0.022715931,0.007187583,-0.074849683,0.058967551,1
GSM3212509,0.039640325,-0.001015003,-0.260541536,0.006951519,0.060964145,-0.158836138,0.006366925,-0.00350106,-0.002521887,-0.017646859,-0.014808349,0.003908368,-0.120835739,-0.011898043,0.029139143,-0.015650402,-0.031015558,-0.099965846,-0.028759784,-0.010768871,-0.007929648,-0.051407859,-0.022411413,0.005489348,-0.069521435,0.061002007,1
GSM3212510,0.039253151,-0.00418482,-0.200197377,0.007522187,0.05934438,-0.159315655,0.005767245,-0.004229559,-0.002907337,-0.018770591,-0.013756046,0.004057102,-0.112167538,-0.008537529,0.02941012,-0.016994246,-0.005664289,-0.099189461,-0.028656561,-0.010608013,-0.008061792,-0.050526813,-0.022155601,0.005782496,-0.070989916,0.061235325,1
GSM3212511,0.034394774,-0.003153965,-0.114348897,0.007724678,0.055961557,-0.175653911,0.00641199,-0.003349589,-0.002243591,-0.018738734,-0.011609264,0.004953194,-0.134572116,-0.008751372,0.022756641,-0.017066844,-0.006063417,-0.101902478,-0.02945709,-0.010328559,-0.007324656,-0.040086997,-0.024630098,0.005566869,-0.070023254,0.061860277,1
