,AGR2,ARCN1,CA9,DAD1,DAP,DDOST,EIF3D,FAM50A,GPLD1,HDGF,HSPA8,HSPD1,HTATIP2,ILF2,KIAA2013,LSM10,NUDC,PAEP,PCNA,PON1,PTTG1,RAMP3,S100A16,SEC61A1,SLC17A2,SLC25A15,SPP1,class
GSM3212479,0.032611588,0.022008745,0.004638523,-0.062165889,0.012243684,0.027459852,0.015323501,-3.99E-05,0.042997699,-0.037552306,-0.026988821,-0.027347886,-0.076821359,0.071282559,-0.006622071,-0.390326963,-0.01879915,0.005419949,-0.111073128,0.014966827,-0.151261314,0.272723441,0.009479655,-0.04683826,0.035550559,0.035824077,2.65E-05,1
GSM3212480,0.060628786,0.021781216,0.005324291,-0.058584861,0.012947207,0.028113497,0.015149727,-5.23E-05,0.020591954,-0.038094348,-0.026726472,-0.024840683,-0.078653136,0.069552732,-0.006558862,-0.496171345,-0.020517536,0.005304149,-0.111803938,0.012418581,-0.15966637,0.163722435,0.009931129,-0.053741046,0.0132185,0.023833786,6.74E-05,1
GSM3212481,0.019564402,0.022840842,0.004646477,-0.06209751,0.01319122,0.027744821,0.014456304,-4.46E-05,0.02865108,-0.032752918,-0.026738945,-0.022523768,-0.075910931,0.066856578,-0.006234159,-0.459952416,-0.019061285,0.006371475,-0.101657902,0.008597797,-0.124407937,0.32348683,0.009240866,-0.049073228,0.030036983,0.029556043,5.10E-05,1
GSM3212482,0.070668928,0.025562217,0.006086736,-0.059111287,0.013172314,0.026272543,0.016215722,-4.64E-05,0.034045404,-0.035547505,-0.025992155,-0.026331958,-0.074768657,0.068848435,-0.006377703,-0.416782102,-0.018226522,0.016874143,-0.093993242,0.011561495,-0.158485446,0.156165102,0.00662737,-0.047366023,0.02551536,0.040288554,2.95E-05,1
GSM3212483,0.014519944,0.020744102,0.004883142,-0.061163066,0.011932889,0.027640049,0.013998825,-4.65E-05,0.040143981,-0.03312423,-0.027964687,-0.026687572,-0.085180558,0.062034592,-0.006859153,-0.459978704,-0.021041533,0.006456565,-0.104869571,0.025857719,-0.143315695,0.286000715,0.009429276,-0.046753997,0.04651009,0.038841325,2.78E-05,1
GSM3212484,0.016878645,0.019754915,0.003995446,-0.06358702,0.011866927,0.030142863,0.014082615,-4.59E-05,0.048988484,-0.037393522,-0.024881532,-0.024361885,-0.082995971,0.070337022,-0.006888004,-0.437538084,-0.021677394,0.007201102,-0.11888071,0.010868338,-0.181554798,0.206479251,0.007612122,-0.051642832,0.041857412,0.037980738,3.45E-05,1
GSM3212488,0.016350809,0.020958307,0.004967298,-0.062928118,0.012912389,0.025561083,0.014548964,-5.00E-05,0.045290184,-0.035639243,-0.027726556,-0.028738028,-0.097032093,0.068113077,-0.006311187,-0.429873685,-0.021508022,0.006271629,-0.10415213,0.02791069,-0.120130741,0.182019294,0.009634821,-0.049051334,0.037184817,0.038449822,3.21E-05,1
GSM3212489,0.012752583,0.021975922,0.004324814,-0.064682521,0.013188766,0.028854522,0.015351265,-4.38E-05,0.053573536,-0.035778096,-0.026847606,-0.025974227,-0.081355792,0.065681057,-0.00769924,-0.475146408,-0.02046186,0.005663369,-0.099669516,0.030025085,-0.093845137,0.268637377,0.006819996,-0.045987359,0.054997223,0.034445553,3.34E-05,1
GSM3212490,0.026592,0.023588404,0.012863228,-0.062268681,0.013785095,0.028762372,0.01605982,-4.56E-05,0.027272678,-0.035816197,-0.026339556,-0.023171531,-0.084294355,0.067917374,-0.007156016,-0.397630947,-0.018463143,0.019204273,-0.099205417,0.008080565,-0.118523474,0.263930934,0.007590604,-0.053797179,0.01154056,0.027686416,6.61E-05,1
GSM3212491,0.015401435,0.02294456,0.00565703,-0.063826837,0.014798683,0.026560538,0.01492627,-5.26E-05,0.018912692,-0.036375885,-0.027304258,-0.026470086,-0.098452139,0.066745237,-0.006640608,-0.473535125,-0.022099594,0.006136901,-0.097537814,0.016417671,-0.152154481,0.124884297,0.009482206,-0.049790127,0.045021284,0.027985982,5.94E-05,1
GSM3212492,0.047948055,0.022143143,0.004626537,-0.060572814,0.012571505,0.025329144,0.01442949,-3.78E-05,0.05092295,-0.035954675,-0.026167832,-0.024399469,-0.08091773,0.063914649,-0.005813689,-0.40065686,-0.017872333,0.006144344,-0.106176854,0.025137269,-0.143529408,0.278511933,0.009980553,-0.047387835,0.041294513,0.043317064,2.82E-05,1
GSM3212493,0.01734482,0.023409226,0.004550005,-0.062726732,0.014908606,0.027467257,0.012830794,-5.07E-05,0.04624619,-0.037890609,-0.027182675,-0.027020072,-0.087077289,0.070246972,-0.005909469,-0.428361485,-0.019531988,0.006152236,-0.114648588,0.023904002,-0.131158022,0.240797361,0.009720667,-0.050554769,0.045058066,0.033815688,2.68E-05,1
GSM3212494,0.014099593,0.020796094,0.004786898,-0.064680197,0.011589666,0.02603181,0.014915388,-4.38E-05,0.040087342,-0.034372518,-0.026960952,-0.025398146,-0.083706845,0.067462907,-0.006194741,-0.483368117,-0.019945258,0.006236484,-0.122186652,0.018681843,-0.16305683,0.253146513,0.009202003,-0.045797011,0.045383636,0.04112025,2.88E-05,1
GSM3212495,0.032586456,0.021112246,0.004731648,-0.062452797,0.013836131,0.027478683,0.015254641,-4.75E-05,0.036138059,-0.034735271,-0.025533585,-0.026822254,-0.088764279,0.06199468,-0.007439409,-0.431293754,-0.019904384,0.004968217,-0.102962903,0.023012328,-0.128664219,0.244976702,0.007322846,-0.047562294,0.047000963,0.031793678,3.57E-05,1
