,XRCC6,RPL28,H2AZ1,RHOC,RTCB,IER3,GPI,C16orf89,FKBP4,TM4SF1,MRPS12,RHOV,MUC13,LAMC2,LAMB3,PLAUR,CYP24A1,MDFI,TK1,IFI35,MT2A,TNNC2,STIP1,CCT2,APOL1,SPRR1B,COL6A1,GJB2,SUMO2,ICMT,ATP5F1B,PMEPA1,GOLM1,TCN1,S100A10,SLC7A8,SELENBP1,MARVELD1,IGFBP1,CXCL17,GHITM,TPI1,CCT6A,PFDN2,PFKP,GPD1L,HMGA1,JCHAIN,CCL20,TOMM22,class
TCGA-99-8025,-0.13218696987495454,-0.04315641817384233,-0.008652076211873522,0.013532637659308877,0.015904844907842268,-0.06109347390998505,-0.05998005190353476,0.009735921301766938,-0.01503288902706899,-0.04457555265247626,0.06044867847884228,0.0027852624843495125,0.001319325347031969,-0.02647714746929457,0.02025478705042436,0.08451573628035894,-0.005384735820974512,0.0017941247941326644,0.022666091020392323,0.005500182317816894,-0.03553392671218963,0.3057796602309225,-0.03498527362451266,0.004425450846465007,-0.01982890354493733,1.2063282676076644e-05,0.000279960515109664,0.022987434532048715,0.11213001062329389,0.06276767097460052,0.01842040783429309,-0.015444736649716162,-0.05538189653762404,-5.4637455438949716e-05,-0.1086105010039168,0.00014201441506139076,-0.006155079307651758,-0.03596621616689304,-4.7385490744406044e-05,-0.008848317615485221,0.019984757449527716,0.005632265753357544,-0.0064222243150435,0.049561525967201536,-0.003831257213169331,0.005554284893641921,-0.0010754953432427269,0.00569955403703998,-0.001275617929692239,-0.03164468122595815,1
TCGA-50-6594,-0.37637267874026337,-0.02255086561603253,-0.03761042749361701,0.0343814677743464,0.01823997375348377,-0.017487268118772787,-0.18465806309944346,0.0020444848515641352,-0.01572730709860031,-0.05578546103054722,0.036771953615257674,0.0038729733369529456,0.016042411027085788,-0.011744932806580016,0.021162849603198145,0.0204801824446397,-0.0026909904051802104,0.008761796609917012,0.044093874373469635,0.022068361548060075,-0.019593662656263486,0.0012651922875483988,-0.020775506884394005,0.007030946421721395,-0.029696748534612114,0.0008724378628576713,0.00035385121872291524,0.00436607531874626,0.12569097358252138,0.046904749463107374,0.05113196516728825,-0.0190273906249057,-0.0858774681989716,-0.006424891085756211,-0.09800583295820481,0.0027470256887709805,-0.0053989393099579995,-0.19393989217636962,-0.0001957839610501876,-0.03095685363959419,0.07224849894269458,0.009711664376112868,-0.008244261567137447,0.02925138699169107,-0.005840650817423729,0.0018129118478419763,-0.006242339504100784,0.001042487758591569,-0.0018944206650868074,-0.08882126179291686,0
TCGA-78-7161,-0.12244564070039285,-0.026358387122645096,-0.007247297485246631,0.0075992133412715645,0.014511125981214876,-0.02893672573448073,-0.03352736888146187,0.04826371671149425,-0.008533036469411044,-0.046071357717980085,0.016043663629704906,0.0007560539401486476,0.014820452723751784,-0.007634580551675703,0.0055721358866843256,0.014022633397758123,-0.007435524137038593,0.011692202684078416,0.002901287515240167,0.004613052444757515,-0.030314821187667033,0.0028799294284801444,-0.01690135385948802,0.005968201858436311,-0.019165312374028114,0.0,0.00017273405170283905,0.0001633919725053889,0.07394635605979487,0.03029472083237905,0.026037881387640325,-0.009441650846470818,-0.07660654050948694,-3.1142289136326095e-05,-0.012750713753971805,0.007845104333973547,-0.018770220604134184,-0.0467700219300542,-0.0002633720477068688,-0.02288345919295906,0.025770877582175392,0.0064158038951596255,-0.00490649677347193,0.01749308170150923,-0.0031352134904045668,0.003555659262430348,-0.0006087452293115238,0.01240443437012123,-0.04410101484110374,-0.02376071340686582,0
TCGA-38-4632,-0.1830757620465643,-0.05521536796110462,-0.025086420297996376,0.03697584963359265,0.03220567515292945,-0.024376297533424622,-0.08899612902683351,0.015511922133582634,-0.02564384306437623,-0.13777348118954355,0.13484900348169795,0.0013974334458268585,7.872418206386855e-05,-0.049371680956378776,0.015761535681108316,0.06484837866713199,-0.015178361910879276,0.0014450123942634236,0.041117554317393154,0.008185337103992527,-0.16780441943016036,0.0014003668653252896,-0.017289867302816536,0.009465336327268455,-0.020287807313804654,0.0006489852809512795,0.0005057278889833319,0.008580633430277127,0.1207156267499596,0.05984226699515049,0.04034846470466363,-0.011551380518775793,-0.04261563221405406,-5.96334185845427e-05,-0.1112320745331269,0.00034162874710259487,-0.002941342898678953,-0.056167590553136706,-0.0042333163809866155,-0.007297435837954938,0.04005870820370781,0.015844256241805247,-0.0074757606235981,0.03906341953129022,-0.005502312052020889,0.003083925234770231,-0.00395354291847318,0.020077498192046135,-0.004240918632925617,-0.06793932169383812,1
TCGA-64-1677,-0.11188482619099875,-0.10896623533585417,-0.022752468602139315,0.01137005210983598,0.014691264067560742,-0.02250013078846893,-0.053800700443742105,0.011022466818813848,-0.009571537452784579,-0.019376575902404318,0.043778985236195306,0.000701278071904214,7.515562339957641e-05,-0.009417781870493878,0.007597892386867945,0.02096742948192293,-0.001007710108769511,0.0006304106752647493,0.02240341127093435,0.006618633351530647,-0.03591291839958303,0.00952123192795028,-0.02719059967596047,0.009445192636497655,-0.04810813795530359,0.0042506401877002295,5.6527857528206304e-05,0.010954794837257134,0.11182609869025659,0.020686828708493338,0.03940760464244721,-0.0069010242309474985,-0.02829546062423383,-0.000813352226448096,-0.03509278056133823,0.00044193934032040984,-0.0043026714467975236,-0.020177172032314963,-7.054129004585093e-05,-0.030535576183302292,0.02951593586763659,0.009851671583789693,-0.006126740248459423,0.034173893452776063,-0.003108105040875782,0.0015396005588468329,-0.0028564333435182575,0.08092484387715737,-0.08427293224594518,-0.04987626994915882,0
TCGA-86-A456,-0.15156158954765614,-0.02159345572581403,-0.01299141651863348,0.01269646678350437,0.020604145486823697,-0.02360646894952949,-0.04044029161363115,0.06607731671726443,-0.0167645524003979,-0.13057661237333804,0.016071600144554374,0.0002859174209143615,0.00016106772078013307,-0.007010878572595345,0.008622446221861884,0.029718863990531804,-0.00013419500757244247,0.00047133325423793484,0.008412747409711919,0.023111647800220077,-0.037328821803747185,0.21566644022278508,-0.020396604369678942,0.006480518046627099,-0.04310606263535211,0.0009698943694971102,0.00013291502498833125,0.00039587348851621303,0.06112035712403822,0.05403057070189571,0.03140250881469317,-0.01022943354987232,-0.030801765215311486,-1.393920849348232e-05,-0.05288299775567027,0.0006566826403401938,-0.0197231631583749,-0.07122109746647207,-0.0003446522591678825,-0.020592406793245695,0.044342295645535004,0.005095880995010242,-0.005732081587618577,0.025148443037491464,-0.003377354178102147,0.008393852471728268,-0.001052053471851196,0.006073881683833586,-0.010107210539492853,-0.024293834782514668,1
TCGA-MP-A4TA,-0.15486257552311097,-0.02495178863863694,-0.015223592986715748,0.018264604984772146,0.020412076038718682,-0.05344647946698832,-0.04549232564365559,0.00017450725216788067,-0.03569863480367044,-0.046040235593526165,0.03661475409115877,0.030496202777770463,0.035751077949084366,-0.025106170829026567,0.02301670697395411,0.03266886664412388,-0.04088949326875798,0.005295608774122136,0.028823076630438302,0.02548858806026821,-0.04206675230933537,0.0014590800600124936,-0.0413134990832365,0.007492203386838358,-0.06980640306449423,1.617027477540848e-05,0.00032893455622378135,0.006809518184630327,0.06089252719262183,0.05668617849380278,0.04518561806505686,-0.006691886866299947,-0.07205114103805017,-0.0006688110002523668,-0.04802870058901076,0.000618526781600785,-0.010898306900621577,-0.08052757235890043,-2.5404260972744604e-05,-0.004768534944344836,0.036234597739884904,0.006488542437926629,-0.007536233452704795,0.03554713717736782,-0.004934525400839913,0.0017205214749952996,-0.004812303070419558,0.026064856350122546,-0.004879017350754722,-0.030594862617994625,1
TCGA-86-8359,-0.0875078486133956,-0.0403456360802367,-0.008472281811996678,0.009525587277896026,0.012816023404173118,-0.12043494356885921,-0.03579530017986447,0.02035358422930171,-0.011519047257012149,-0.023623211011194117,0.035718369484961744,0.009035433460536174,0.005384231153086381,-0.011522570302461342,0.018724186216179044,0.06386075610160873,-0.1871410510644544,0.0034913198164133233,0.010686553898835861,0.008585315396330027,-0.03498313664866024,0.0030114748248750147,-0.01671488076008292,0.005878469294523086,-0.030493790505142056,0.0014270267489297985,0.00021700970330802534,0.006793493248845039,0.049972857909979344,0.03709440887300577,0.03738594711422711,-0.017785208220267537,-0.10971884765575105,-0.002869850905048651,-0.04435689800861422,0.001906284834717313,-0.019671550543475934,-0.06983825891211046,-0.00036159961952618637,-0.026094437755330324,0.018362817967774902,0.005775246089585706,-0.0060802636065856825,0.036839794054112564,-0.00346121808707239,0.002110511580767154,-0.0008300874497484719,0.03648036361888915,-0.09694093266209934,-0.020410819864516372,0
TCGA-55-5899,-0.14999970544510774,-0.016561142848211693,-0.03576058408045113,0.006207214403608831,0.023426889131191404,-0.005651558480817843,-0.09421011000581313,5.7960135041191256e-05,-0.02088347572986403,-0.04125593557706654,0.030640618478709632,7.407848607122296e-05,0.13305983095569948,-0.0015838514705028453,0.018266863602801938,0.013568536897840744,-0.00013697081071947082,0.0006364075929677143,0.038021682705613166,0.006538569007609397,-0.014797936028763755,0.0007709773270187656,-0.05569573543079514,0.006782696548557558,-0.02345647602762464,2.441647067681201e-05,0.0006237486028654726,0.0009552349072371281,0.09134595319611659,0.07780809915121055,0.04671576372180926,-0.003731654807455508,-0.055403203142230684,-4.422134359766623e-05,-0.005211066442651886,0.002163812908484645,-0.003008438250501132,-0.031070285374548815,-0.00040267599393918423,-2.997359360498969e-05,0.034182875558416835,0.010477342864229031,-0.017002912078399515,0.03057740321813557,-0.005156505277954088,0.003444961708230827,-0.002144777178405771,0.007046750331251785,-0.0001936019796049575,-0.028737292006900377,1
TCGA-62-8397,-0.08842949850171591,-0.018322552243359498,-0.0053801429305812155,0.009814819010333285,0.012178120153679984,-0.046679148306156014,-0.03786887062995613,0.17165259072810707,-0.013505090789601581,-0.01344526394764979,0.00890877840927601,7.63453971820905e-05,9.232534337866179e-06,-0.001552453636471563,0.010733979058496686,0.008986649645918623,-0.00011276830238133587,0.00017505492319257117,0.005732123177235547,0.0022166398585712573,-0.006455242938006337,0.001045452812089091,-0.012049117538192365,0.0021680326940395683,-0.02736867172936177,0.0,0.00013274162612676393,0.0013816949124093932,0.0416509729092449,0.03476189451250031,0.022719166306662805,-0.007966123823505963,-0.015950350706429983,-0.00022986143642506602,-0.02472482403169192,0.00034433112686252555,-0.03104909948164831,-0.0174933899736014,-2.600832530234751e-05,-0.028950199922570346,0.021312151342731296,0.007550949074595931,-0.002546309116672876,0.013010013232293595,-0.001919446995195335,0.0054722659711753975,-0.00044698044448796703,0.014189852894075823,-0.00010000393493873096,-0.02057101843180655,1
