,CD79A,PMEPA1,PRR15,ITGB4,FUCA1,SERPINE1,MRPL51,PSMB7,HSP90AA1,TPX2,SPRR1B,MRPL15,RHOV,GFRA3,KLF4,CCT7,HMGA1,FXYD5,PLP2,PYGB,ERRFI1,APOL1,TCN1,AGRN,NME4,TOMM22,LAMB3,NIBAN2,CMAS,NPC2,KLK12,CYP4B1,GOLM1,IER3,C4BPA,MARVELD1,GAPDH,TNNC2,PFN1,EIF6,IGFBP1,PLAUR,CYP24A1,COL6A1,KRT7,PSMD8,GAA,class
TCGA-99-8025,0.003261339005813422,-0.03829833217926295,-0.0019086890872868168,0.03338629664956686,0.025376580606258543,-0.009589244728633648,0.10250236837210192,-0.03660222322857717,-0.04359763648175999,0.0012729460293450683,7.0100691401107854e-06,0.049227308734987985,0.001715854198117139,-0.00490510243077015,-0.0029166233712906273,0.015941292864395006,0.003379956224665373,-0.03706142692055818,-0.005180651007780935,-0.00550281593508843,-0.015174766311768926,-0.016886600555284452,-6.714396982978353e-05,0.005886532685076637,-0.004505867792840682,-0.04641593610253737,-0.00037436037265745406,-0.024342973919149302,-0.0012926593064698315,0.03472930712277162,6.496056176710697e-05,0.0027584423223944742,-0.051072782025919125,-0.07764266736914237,-0.0006734922111064355,-0.016397462401776804,-0.0695985330289266,0.1653396664727607,-0.05958793914780338,0.022439735839363095,-2.0250083908998355e-05,0.060811516812042894,-0.0028045179655178864,0.005808274470243419,-0.09915264958499785,0.07670145618314936,-0.0054380807956945715,1
TCGA-50-6594,0.00028248650297952357,-0.047182243581383704,-0.00021720389057932132,0.02724715552304232,0.03780885311546264,-0.009400755694268929,0.1305643026175278,-0.05961541168635923,-0.023592818705374174,0.002611309653756812,0.0005069805544067572,0.049225526312450196,0.0023859358307331945,-2.71047358338402e-05,-0.0038988233407135347,0.021821043231779753,0.0196177830019653,-0.08864583746591263,-0.0026696293533085597,-0.0038450889559225143,-0.00679811564838323,-0.025290209776765982,-0.007895548754163444,0.009463300491749798,-0.011555282635416487,-0.13028167300812948,-0.0003911436957704735,-0.022137894876202414,-0.001705942058487917,0.010639202745747518,0.0,2.127401589199301e-05,-0.07919557632491368,-0.022224274621236967,-3.953341966657094e-05,-0.08841970129440459,-0.16025609948728342,0.0006841085201323899,-0.06894390277521077,0.037738278246263426,-8.366783960700879e-05,0.014736083643814213,-0.0014015415402492924,0.007341267389680848,-0.15944996367259773,0.05961203365262153,-0.017832730786434492,0
TCGA-78-7161,0.0011124509290379218,-0.023412473041125238,-0.00041254484907787153,0.011061893228423578,0.028322328401851348,-0.011108289363804365,0.10034226743960328,-0.04427542249980592,-0.042439191829912105,0.00028293556670840265,0.0,0.015750211716131456,0.0004657651960978592,-0.09217402919975341,-0.006131649542499568,0.012939465150406008,0.0019131019394683455,-0.006214503725577265,-0.0006986201338078742,-0.004317862794255072,-0.02531090000536478,-0.016321476063667344,-3.8270759598904e-05,0.0038630722906112225,-0.002419514077631417,-0.034851852270804284,-0.00010298735117994805,-0.019337047951860045,-0.0010295062142545092,0.011653537861078384,0.00011573021940930968,0.0007875979779283904,-0.07064599426534232,-0.0367751975319771,-0.00862264508430995,-0.02132305696461564,-0.08547443736501964,0.00155722120565638,-0.05146629096797501,0.00868245253193006,-0.00011255145787380957,0.010089690324511253,-0.0038726247152441906,0.00358367244128804,-0.03497127606991025,0.03288811052062433,-0.03347859337180294,0
TCGA-38-4632,0.0031628342914968876,-0.028643972265158198,-0.00011941937691177504,0.0245417052671204,0.048505101407452546,-0.011225928876844865,0.19632096347984562,-0.04546917103823068,-0.03150140389599828,0.001850742781135648,0.00037713048865255553,0.11418971160236094,0.0008608854849711982,-0.001533768151288018,-0.011121635861339059,0.027610925409730556,0.012424788336586317,-0.07497240626250067,-0.008171960480504682,-0.0060087517858973555,-0.02245822795429823,-0.017277410093523175,-7.32835090162895e-05,0.0029680143308391557,-0.004381330385061286,-0.0996523615477008,-0.0002913135722703067,-0.013643991071231067,-0.00153989335040814,0.0280356223220927,5.064115010161497e-05,0.00028895152662561835,-0.039299825954615,-0.03097942611460506,-0.004362605323268675,-0.025607529855788402,-0.1691896075767576,0.0007571994496871845,-0.0858943067340708,0.03652451252362148,-0.0018090983248587804,0.046660284144817626,-0.007905306793396136,0.01049221668034639,-0.03621759729661262,0.23134224231551054,-0.02001218061386781,1
TCGA-64-1677,0.01241813664608067,-0.017112478145027296,-0.0007974110107431412,0.0028628685509856935,0.02000763480199316,-0.004285856461429471,0.12872830200238555,-0.06644749701928508,-0.04400294965810686,0.0016730391525796617,0.0024700806907728954,0.05821438219404171,0.0004320206553190847,-0.0051547809102353995,-0.002942980582071083,0.022572346866850102,0.008976905126019985,-0.01736688216928463,-0.002048224122608843,-0.004597978732531853,-0.012127523867581822,-0.04096963340754897,-0.000999528563599374,0.0013105997605604917,-0.002303311499324217,-0.07315775256076908,-0.00014042852281182216,-0.011299238622958873,-0.0012854510793406074,0.03831412359422308,0.0013789777016069635,0.0002955345368860525,-0.02609386790867147,-0.028595037387221963,-0.0040530389897779325,-0.009199033288317358,-0.1159185705209211,0.005148273466548584,-0.181201759096139,0.03743862082128332,-3.014566315631342e-05,0.015086671980417904,-0.0005248430374373708,0.0011727700658431324,-0.033506883024720845,0.05575613383338388,-0.007449086553885833,0
TCGA-86-A456,0.001471883131516238,-0.025365938765029503,-2.5873142456641336e-05,0.01432844351767071,0.12226017001831917,-0.0288719580688815,0.11959543046647376,-0.027179461836131187,-0.03354262628351257,0.0003299989743687562,0.0005636133025600422,0.02085196712885724,0.00017613873369112936,-0.0015665637569691293,-0.03073229486847072,0.01188735709270387,0.003306285520626138,-0.031822980397095725,-0.001854304991087612,-0.00969893354643399,-0.01559391081645104,-0.03670978879818662,-1.712989353216172e-05,0.012694424498248225,-0.0029138688003580303,-0.03563382657891376,-0.00015936490335836159,-0.014138609364284543,-0.001256192737577491,0.05875793034740707,3.223703446744096e-05,0.0081021890613554,-0.028405163766582534,-0.03000106392883878,-0.005644408382757628,-0.032470618051691526,-0.06664435193580953,0.11661409156146633,-0.06331435834880735,0.016325033434212786,-0.00014728637517380532,0.02138358223845986,-6.989243709111298e-05,0.0027575565291737152,-0.03913783347792951,0.03563190876109086,-0.02245540274753184,1
TCGA-MP-A4TA,0.007014653961175375,-0.016593879968572485,-0.0015659966546455093,0.07205727647014784,0.03511890160679214,-0.0087439350797928,0.08587302668361903,-0.042861019281713354,-0.036497409303067156,0.00315800881213131,9.396674788613124e-06,0.0656122609215243,0.018787111755856567,-8.437333121388763e-05,-0.011706391233952958,0.01695086033124265,0.015123611478222797,-0.015947693347485286,-0.0015012346950235476,-0.006152630166651583,-0.013070562700976899,-0.05944821114691767,-0.0008219018485029852,0.011041718464250913,-0.003047055339838323,-0.04487607816942861,-0.0004254077309559449,-0.014186141726905948,-0.0015768517322021398,0.009588981790991564,6.452914359513381e-06,3.5666654871460235e-05,-0.06644503801806718,-0.06792423088301164,-0.0021329816107453817,-0.03671356013471623,-0.09002669001390444,0.0007889465581109478,-0.07575393391406986,0.02988701726740599,-1.0856454333648554e-05,0.023506194474474607,-0.021296368528698012,0.006824327296822749,-0.10343362695829551,0.03773293888819129,-0.02041190422805483,1
TCGA-86-8359,0.002889820688967584,-0.04410200236788641,-2.8654315213366497e-05,0.030529254575117692,0.02815935831626802,-0.007425068457252415,0.09508986902010735,-0.04320618830248613,-0.020769405884964464,0.0005388868493353656,0.0008292565500951081,0.05469211721240348,0.005566256868853006,-0.00726652100115041,-0.004124626715138024,0.015967375825322157,0.0026087135201670023,-0.027241997019235683,-0.0009685112422377974,-0.007155030606065779,-0.014477325066574415,-0.02596898303075018,-0.0035267598213806505,0.005163113366794698,-0.006752604890998874,-0.02993827948106016,-0.0003460709466925496,-0.024609716955493507,-0.0018861960128315647,0.013104709890317227,0.004071403438231181,0.00020427696515345827,-0.1011819229890462,-0.1530587420338209,-0.048716463715627725,-0.031840164097412506,-0.061137224355486165,0.0016283497821926016,-0.07822333939394095,0.023521236009607815,-0.00015452879186930404,0.04594966114263445,-0.09746818734390178,0.004502248894010528,-0.11331579155456992,0.040524939673867715,-0.005417349217941702,0
TCGA-55-5899,0.0019047159013775956,-0.009253388946382652,-0.0002674107108459429,0.0032006662853341053,0.04795960349503427,-0.004889877881562974,0.10766696300435083,-0.03147800319587387,-0.08885604923835275,0.0035836429055070116,1.4188604561292326e-05,0.046339454145506886,4.563587167446284e-05,-6.370175259870161e-05,-0.00714557184153708,0.02502937938009082,0.00674038527476613,-0.019786369390208603,-0.003180388991806367,-0.005360289392290575,-0.003218289050798568,-0.01997589731653287,-5.434360982772861e-05,0.001795456507001649,-0.002774372934657164,-0.04215142190966591,-0.0003376184527935852,-0.01530571558922235,-0.0022859101598265777,0.017061358589205485,0.004142927063678305,1.0258129657626192e-05,-0.05109243082165959,-0.007182470518699348,-0.00010730083592005939,-0.014165344329732727,-0.1621469851958822,0.00041687904947986567,-0.12451918915835698,0.030562621254373215,-0.00017208268896888902,0.009762954758398307,-7.133815143131496e-05,0.012940764466211922,-0.027394596558068033,0.052762816535360246,-0.04889737683491674,1
TCGA-62-8397,0.0017552631230777801,-0.019753606894901535,-0.0010095720459366922,0.019132011422014893,0.07634634613332222,-0.0011631498936142373,0.06649401392773566,-0.02326432958688178,-0.021280133393224855,0.00012901547724797948,0.0,0.011700712749377423,4.7032396766154104e-05,-5.7583505173967566e-05,-0.0036095753070598388,0.006913868659455849,0.001404724200009702,-0.040165664498378315,-0.0015415782175849787,-0.004123441627299679,-0.003561480403746647,-0.023307583607689544,-0.0002824767227602797,0.0066060960012218175,-0.003376917468996338,-0.03017325629785803,-0.0001983914415112026,-0.015988940069589914,-0.000583395705364947,0.18575870209193945,0.0,0.01183701494081598,-0.014709297366027189,-0.05932374365140475,-0.00021900786439669497,-0.007975462390613988,-0.10881677252942035,0.0005652920770900242,-0.03551185587707405,0.008812264078276573,-1.1114599879230685e-05,0.006466154352768997,-5.8732821903261744e-05,0.0027539590640796954,-0.016579775871809043,0.020221136491969213,-0.014821711176086974,1
