"","ADH7","AREG","CD14","COL5A1","CTSE","ELN","EPHA2","ERH","FASN","FUNDC1","IFITM2","LAMB3","LSM1","MYADM","MYLIP","NPPC","NTRK2","PHPT1","PPP1R15A","RARRES2","RPS26","RPS27A","RPS7","RTCB","S100A11","SERPINB13","SNRPC","SNRPG","SOD1","TIMM8B","TOR3A","TXN","class"
"GSM1932967",0.000443240364731885,0.0038323384891264,-0.00533729413747437,0.00100212915759768,-0.00527388240938814,-0.0028326688233352,-0.0082555979599883,0.0087272121585158,-0.00289556728318862,0.00149434200138041,-0.0119591258721756,-0.000398619006774772,0.00209741166510051,-0.00229013091412446,0.0139216998999831,-0.0206125494922329,0.00073769980742206,-0.00681030181327534,-0.00316591521362975,0.00169834641473418,0.000710866323368299,0.00217340273297098,-0.00014236723963274,0.00217673861377675,0.00039786573794078,0.000625682885938623,-0.00631842166419866,-0.00378201648211147,0.00308759584529667,0.00365583240552027,0.00426190531493712,-0.00326038620381711,1
"GSM1932968",0.000266216012227981,0.00452945034878429,-0.00505203574077088,0.000968939686677759,-0.0063263443889126,-0.00291659696043687,-0.00944413089479059,0.00893131849772837,-0.00285034263096068,0.00150053421262325,-0.0116410128798599,-0.00043255099813337,0.00212584601541125,-0.00209330948084559,0.0146021587773155,-0.0220796476571687,0.000580005806829572,-0.00643688124249289,-0.00333335811358653,0.00166440578667863,0.000674883251290302,0.00210770785140463,-0.000132590682820826,0.00209441730968577,0.000385053916748003,0.000789232490274018,-0.00601580648762681,-0.00355886792123499,0.00287030333297573,0.00351912797084285,0.00373881020048699,-0.00253692171042056,0
"GSM1932970",0.000202309592421208,0.00616259565649685,-0.00607316177280998,0.000931685371533659,-0.00798842867440264,-0.00298279602020509,-0.00827872593324172,0.00833069946200414,-0.00300480667647042,0.00143232107175341,-0.0126121869429523,-0.000356886558073462,0.00199174471440505,-0.00237527762864899,0.0156187743786643,-0.0205432841697358,0.000433130066214058,-0.00672500755321484,-0.00337757608517838,0.00168049951293232,0.000710176204509283,0.00212277016818605,-0.000129591353063244,0.00197932480440111,0.000374217406640245,0.00042262755820921,-0.0058983081197444,-0.00348487002555933,0.00289975441124104,0.00361947727496509,0.00387524952863759,-0.00275645841472417,0
"GSM1932971",0.000410759068087097,0.00569519695752385,-0.00509844419264588,0.000932268612507985,-0.00642754789582857,-0.00280429714453318,-0.00854046362412854,0.00874257021861854,-0.0027584077129312,0.0014820628847121,-0.0117865713178033,-0.000422141700055031,0.00210833291402889,-0.00201917053876094,0.0146204137272378,-0.0205158361731441,0.000654195986213601,-0.00651871465426508,-0.0032655417045424,0.00157804177115283,0.000719493051976939,0.00207689484833323,-0.000138626159868667,0.00198354832501178,0.000392316801950602,0.000692870446393517,-0.00612569829657294,-0.00341125801101495,0.00267239413013827,0.0037340789968451,0.00383248348736871,-0.00273914603349568,1
"GSM1932972",0.00020896801418356,0.0042767089090324,-0.00573010473970083,0.00101945082102484,-0.00396959240046386,-0.00287436700891656,-0.00817482196294433,0.00804313305461318,-0.00268835011182457,0.00143923478371272,-0.0124333288857118,-0.000447089444728749,0.00206585522815758,-0.00232001446574649,0.0148189040985036,-0.0205010417943972,0.000424473624629888,-0.00664166551514278,-0.00327782987370815,0.00168942642626501,0.000681270436453773,0.00205958444124346,-0.000128638808780018,0.0019886595798857,0.000398787088166654,0.000686031813405746,-0.00608930316329622,-0.00331619447915365,0.00275002675575881,0.00334737738746596,0.00399260221044392,-0.0026120852494262,1
"GSM1932973",0.000429225147427693,0.00370000109903798,-0.00547136030321655,0.000924994572545706,-0.00587562013566267,-0.00281214157021301,-0.00867872595883378,0.00861453970597091,-0.00283938740894851,0.0014232025502879,-0.0123269927719166,-0.000461271415268471,0.0025517955719712,-0.00211325085908508,0.0147521530095626,-0.0204962179416745,0.000695193897787356,-0.00658715036845472,-0.00308211297110887,0.00153686956560235,0.000748302639092927,0.00224427442157979,-0.000146385777637235,0.00192345536873708,0.000433307640839022,0.000914625025215681,-0.00655061940007903,-0.00388651460419935,0.00325788019149624,0.00408023083068546,0.0039667420482637,-0.00319829845451795,1
"GSM1932974",0.000311134094752906,0.00490914077771936,-0.00574761402959991,0.000985933368991341,-0.00743101879120046,-0.00282943697943623,-0.00882875867888954,0.0083758690021,-0.00270095837651337,0.00148571976469388,-0.0116862387067011,-0.000423550837965732,0.00206733460453839,-0.00231983115621387,0.0147275048793604,-0.0206709042176538,0.000583488368679429,-0.00667502553546179,-0.00332490524256535,0.00168977790697554,0.000725826871383099,0.00210076952852024,-0.000135852376942907,0.00211028178907589,0.000405903688681752,0.000916131429221542,-0.00621907514101062,-0.00357730939286994,0.00274860036473641,0.00362277779600784,0.00395782171864257,-0.00291273788807123,1
"GSM1932975",0.000420511934494919,0.0068248565650704,-0.0041780847634939,0.000894789112495954,-0.00402738545496414,-0.00274416133552682,-0.00942610921636996,0.00814952841094803,-0.00307947032156653,0.00160230655642976,-0.0112384794428253,-0.000435665873135457,0.001970549488674,-0.00230399752937003,0.0177020243067668,-0.0209108298095018,0.000730003333369057,-0.00691340153829944,-0.00330135503776223,0.00147679045384063,0.000712886618886616,0.00210806900580761,-0.000142179808884226,0.00217845892395732,0.000421132888090672,0.000751997191215337,-0.00643222371509525,-0.00393426149300546,0.00321126091485901,0.00354615350310629,0.00389208024820267,-0.00324671371507802,1
"GSM1932976",0.000401107330330054,0.00452264285071256,-0.00474924080395121,0.000949476686910926,-0.00687652356546898,-0.00282074415730749,-0.00922819760279714,0.0086258782137024,-0.00292948316118457,0.00156179767486251,-0.0119453785528142,-0.000473504383033572,0.00211832453960639,-0.00203943406389684,0.0143875918050872,-0.0219806708880551,0.000629254592456847,-0.00660307961506316,-0.00339672959479385,0.00155608187481502,0.000760845814997067,0.00212728424622401,-0.000124936968452659,0.00208276742341064,0.000398035254295916,0.000633772336077934,-0.0066391192722361,-0.00337085307709625,0.00286475466399513,0.0036805689030085,0.00390378731535748,-0.00272084787552923,1
"GSM1932977",0.000282899650283159,0.00547002373113342,-0.00598114357330623,0.00112336157232562,-0.00731648288969397,-0.00290255161131281,-0.00873014611795574,0.00849588041919614,-0.00270444669624316,0.00156753147754911,-0.0130480874084903,-0.000452052806801981,0.00235164880843787,-0.00254989112690545,0.014208739434071,-0.020491097527394,0.000500976245726997,-0.0069293468950594,-0.00328458171774258,0.00175373986501986,0.000726310899139009,0.00212417440662282,-0.000132031414771374,0.00217211921931943,0.000409146534629645,0.000634670577124579,-0.00633701644285215,-0.00358978727015884,0.0030038844557458,0.00361467291718559,0.00382912516856302,-0.00291811082024689,1
