"","ARHGDIA","CD9","CLIC3","DLX5","DUSP1","DVL1","DYNLT3","EFNA1","EIF4EBP1","ERLIN2","FABP6","FBN2","FGG","FN1","ID1","ITGA3","LRP10","LTBP2","MOB1A","NPTX2","OAZ1","RAD23A","RPL36","RRAD","RRAS","SERP1","SMAP2","SOX2","SPARCL1","SYPL1","TGM2","TIMP1","TIMP3","TINAGL1","UBB","WNT10A","class"
"GSM1932967",15.9756605368143,18.787492906901,32.6892030215699,21.7313655942357,24.8970915788947,11.7993858099699,15.1542749912092,16.1741229281183,43.7500518377526,4.29521947759918,29.1828189026572,3.85002641185783,4.66146784689361,4.08998365333344,39.4557603168478,4.25315063368124,6.63807674767654,5.40085046625965,7.63551121493382,12.0339854207049,19.0775939488848,21.3157913033862,24.9547691231764,21.9542355058736,39.3511755752077,6.55731541199323,14.8226365008045,25.6346229682686,15.8838155058912,16.5291656070198,5.63867372480919,30.2994972331747,11.6770884101382,7.53603855284571,33.8448932242649,11.2972285409683,1
"GSM1932968",14.6193650136431,18.0983347483612,33.382982672443,21.2638128556517,24.7761072476018,11.9195153610103,13.9477242342609,15.7127967263196,43.4820755713355,4.51497215596814,31.0847787704754,2.17629498394163,4.87519510286322,3.93842557763195,40.2170592658899,4.24281129979608,6.14734965216846,5.38790930295622,7.31631571208542,11.9093643809922,18.1513220006783,20.2544195809741,23.6735354165996,20.4600520495544,39.666209776656,6.84467833699978,12.6781657661861,22.074517997905,13.8795483693572,18.5285791586897,5.67539832612403,28.3079749831357,10.8538637561342,7.32103458667599,32.6036000237957,11.1069277443831,0
"GSM1932970",15.1301024776111,17.2944955956828,34.7137100369802,26.1441486844349,30.1729311523421,11.4798035595678,13.2587802487132,15.0344415225088,41.5128569061262,4.07187654194247,29.167695397839,2.50230490236697,12.3837777833347,3.67760174982334,35.4457308616385,4.56369212982863,6.12683442756444,5.13816041586085,7.72207966594075,11.9241888530558,18.9817321609999,19.109801543161,23.7675359624545,23.3392201280734,41.8845411763133,6.8389154844277,14.3394806367688,21.7502470089928,14.8356365943906,17.7729216164471,6.63709758226324,30.7636200035636,10.4081698258547,7.40741450501811,34.7431516487454,11.1923697392945,0
"GSM1932971",15.0030811250852,18.1659327739982,33.1305148246924,22.9096561290494,25.3863268274366,11.6913622765673,14.7041294520707,17.3005100850695,44.3886639647084,4.00092114123291,32.0287339533504,2.70303505009237,4.98794254708585,3.71212771168264,40.9753687268674,4.54414469888846,5.9274694733619,4.90809668881725,7.07141497128193,12.069063798258,17.1235478418147,19.0298798595791,22.9968268379433,21.0490752268821,37.3336324547551,6.83631061777148,13.02983171102,24.8228782369597,13.0076326256113,16.1590327584114,5.94688590240476,30.1215066350016,10.0318422187358,7.45056323154628,31.223334256319,11.8164309312906,1
"GSM1932972",15.486531569475,16.140914141423,33.4039023445818,18.968174176011,26.8855711132966,11.6674193582184,13.2209942379119,16.6695477427536,43.4165938800287,4.40665112434649,28.3848083170727,2.10959652939358,4.73712087925233,3.98336460099595,47.053597363125,4.87586692232922,6.49126765072022,5.32879980693717,7.43441544964533,12.0186037952176,18.4816199972164,19.458544334364,22.9187584834725,20.5562635934124,42.9074342043906,6.66339939270996,14.4457088457337,16.8414240053718,14.5671408100628,17.8321665532463,6.18795748851055,31.7838730008709,10.7916717701119,8.37989149377925,33.3845077318746,12.1458487023773,1
"GSM1932973",15.6760745236644,19.6291390958742,32.476460395917,20.8372617148577,23.0347874761094,11.5146152536353,12.0108403325773,16.0883699797414,44.446971104708,5.20151150479603,29.9536212435,4.23155201018586,4.65442607487784,3.75733116998945,43.5078363664852,4.99453754450765,6.36064089319096,4.85039146224002,8.03153774521042,11.6689261116484,19.2815339717781,21.5040434554335,26.2029412727643,20.557781150535,39.7178792084345,7.00687037353075,12.5700223024961,22.7114732511065,13.2126895883821,19.2330117244833,5.95283287516427,28.3651206506731,9.71737297996288,8.09183934760177,34.9963369519404,11.3306076953634,1
"GSM1932974",14.7430579805311,18.6329141453444,33.3201419049378,22.4316638140944,26.1397131373522,11.7735556504007,16.4055079460747,15.677136192843,42.2980674822426,4.25180474576022,28.6489637581366,2.30230859960654,4.61377741764054,4.13307753717882,35.1022751220202,4.14301429685806,6.12319544652387,5.04458499649445,7.54492697004819,12.0659664814234,18.5676471360625,19.8560782458513,23.2242844153366,20.7376856910574,40.6845604933962,7.10738722500457,12.1797367316156,24.2188334795137,12.6953186554932,18.1214505556676,6.07017026524396,29.7913016586166,11.2952844632986,7.46835371447327,31.7434765050411,11.2456557246301,1
"GSM1932975",15.2788824414899,18.8111060803699,34.2172935631495,24.1361815361059,21.7367559699953,12.6744394605286,15.9631107602705,19.7652624426739,42.5104086389806,4.02008830380311,31.1395494661605,2.74505302346519,4.75394792419115,2.36903812272748,42.2586962219098,4.71411191470186,6.00416406796982,4.63394963402187,7.80033846364445,12.0692351318639,17.3235637666198,19.8642812029049,22.3151224947703,21.3756966065619,35.3344814323005,6.94922646382312,12.1395559736746,26.4546552012553,12.7883684167332,18.2085726207268,4.93590339964035,24.411600701736,9.22592597537535,8.47080676670139,33.8422911388581,12.4778177540898,1
"GSM1932976",16.5970536466376,17.6892229197175,34.5645711969881,19.8370233791234,25.0483852197341,12.3539283316154,14.0497273061678,15.4344729040833,44.3736538143376,4.69248467180412,33.7585223923603,2.38676268129383,5.29342461890555,3.76080719316012,39.7764130413639,4.96603417966202,6.20970106605963,4.70012893867349,7.42076511366919,12.2958806451886,19.0123420067932,20.9808204756716,26.1465182803433,21.4258500830343,41.9875364048833,6.96455861705695,12.2521951199098,21.8018458049407,12.806560653663,18.1632811352196,5.74864959393496,32.0027073581701,9.94399459422726,7.82105220087673,32.0758565040918,11.6549963867432,1
"GSM1932977",15.9251243209917,18.4573735120576,34.066641869235,20.0351161269341,25.6595320889318,11.9235619359156,14.7290163456939,16.8443856594118,44.9139722153792,4.90733023409361,28.5846960573056,2.10850563616622,4.84739367710662,4.36395223157837,39.7765996192146,4.99957566303865,6.50106671075011,5.81322090511287,8.00760079594281,11.7182564781198,19.2900689072365,19.9367095961839,24.2054099462464,21.0679805569167,46.0789445299018,7.48937436271725,13.3838522996917,19.3681168263413,15.7090247193078,18.8546970405211,6.63339555993687,34.6025785076728,12.3992101713587,8.93135317271894,34.1630525843754,11.3501341536374,1
