,SEPTIN9,B3GNT7,MYEOV,RPL36AL,CBR1,CD59,EIF1AX,FGA,ASH2L,RPL37,FASN,LAMB3,MAGEA1,CD14,EPHA2,COL5A1,RBM38,MYADM,RBBP7,PDGFA,H2AZ1,RGCC,COL18A1,TM9SF2,ERH,PFDN2,ELN,ABCC5,MT-ND3,RPS21,ALPL,RTCB,class
TCGA-18-4721,-0.030254091312900057,0.004751647625258994,-0.00030797632965963044,0.03666701251071264,0.025893570737248402,-0.026636123917944978,0.011985246708446822,-1.879514069777278e-05,0.12115581193537402,0.03468170185477471,-0.027336955938954393,-0.005750030040797852,-0.0,-0.03236444503897706,-0.017372656552188257,0.014844097570778519,0.0034182794920582667,-0.01006685033710196,0.010833344553389405,-0.0002094874514499997,-0.04537234519516569,-0.004915617218999685,0.0029442403609706183,-0.036097563251264855,0.04150517840199936,0.01077718571234047,-0.00216948344051958,0.0061732844576842735,0.012387712849219626,-0.010273566820901112,-0.005129895869415483,0.08340858967279512,1
TCGA-34-5234,-0.015423010184459324,0.006431608696069872,-0.007200405541039618,0.08650889918385296,0.010910160584554,-0.05396209940069437,0.017664587184156564,-0.0005356563378610158,0.032023057942912325,0.04880402542842205,-0.0029746190441130153,-0.0049255541926477115,-9.292056206092858e-07,-0.048492571596329796,-0.02534254631273446,0.005897805240633801,0.0032646492587706725,-0.006215893664128323,0.005017057707942133,-0.0003291612787694187,-0.03781877963954259,-0.029089506583541973,0.0026339895951079566,-0.03631308605323714,0.10132535536617038,0.006470732020330309,-0.004885897713337994,0.00031541780356924876,0.00910382482875324,-0.10798944675536365,-0.02031993248940439,0.03700179536320699,1
TCGA-21-1076,-0.035617190493028035,0.009964067380099233,-0.002316954555870925,0.04095696338964644,0.005051593706471332,-0.03471291530731409,0.012617065975101,-0.00030577014806062926,0.03634125633022077,0.03867143110149952,-0.02592735633111039,-0.005913663945536438,-6.610052568968282e-05,-0.059445451724788205,-0.031660782135368035,0.023053965178301536,0.006217209050362554,-0.016533903243499733,0.008063856558193782,-0.000623954135731543,-0.024409582095007782,-0.028469593824829463,0.007651804919704091,-0.035598295014190984,0.05947239453544028,0.004939484447532876,-0.010167858659591685,0.001978603454118392,0.021849219952843096,-0.01438911405893597,-0.03619138188795311,0.04150492161435083,1
TCGA-77-A5G6,-0.07615774900565711,0.0028604742557050093,-0.00040960851844730847,0.04832609986445171,0.0017981709905023403,-0.01703687580620222,0.015030905364089702,-7.618393573973392e-05,0.04190920945302236,0.08610829212611561,-0.045961934554185284,-0.019997596194002386,-1.933613433174712e-06,-0.00996547076830857,-0.0794197121497481,0.014915147187569812,0.0057037570594228055,-0.0028795438634879275,0.013845849638574947,-0.0012399906818546115,-0.04948321860615575,-0.0058763777872065815,0.006852178746811581,-0.04695192165847524,0.08934940818890337,0.011284048679020124,-0.027593598044292122,0.004481436395739757,0.017499333085387838,-0.024020657396201406,-0.017100826548537774,0.07268233034072366,0
TCGA-22-4605,-0.050734608191114236,0.025506196318923428,-0.0011098494364102577,0.04841403542375253,0.025583600826919465,-0.04997935691826161,0.009585176598722022,-0.002179481205217406,0.025044479963385775,0.06829323830044431,-0.04262848280495495,-0.017642204995340825,-0.0001971816146688431,-0.06858794296657304,-0.08370906284007561,0.022733323350831395,0.006413280077687451,-0.029979255002052292,0.007355141304804911,-0.0004877902356309051,-0.025609920696824964,-0.02956883890222431,0.013907161876274549,-0.03779843197125503,0.039000747532581655,0.009036841321368588,-0.005782146951744467,0.0016654009705138618,0.024253128654857927,-0.023372158837337252,-0.06082508847352341,0.055269879693082995,1
TCGA-56-8625,-0.05116057735465784,0.013945755641253273,-0.0015836467056708364,0.040883971128004584,0.0025682591900391743,-0.03503053170675259,0.03608440874418501,-1.3643803291338632e-05,0.049278452893343996,0.02138069073860982,-0.06908405178175425,-0.005473218073504493,-0.0,-0.1264147242345979,-0.04288027373609124,0.055638720417147285,0.006955502029969794,-0.026346373450363354,0.030043537600701744,-0.0002809542446414881,-0.020117068319474126,-0.010881072067000995,0.019515479659801185,-0.049451613829602815,0.04838144738792048,0.004995256802728636,-0.03381090538943217,0.0014443749421820704,0.012379475299779199,-0.011493725306204034,-0.09349308466493762,0.039098032839044825,0
TCGA-21-1070,-0.03199169301897043,0.010007721204081879,-0.018748545346445253,0.05250403431812479,0.00491503693640891,-0.04900259132092638,0.019572712721041895,-0.00017640744604282717,0.04162293558503994,0.04689284127443505,-0.01684378395122431,-0.015440694409266487,-1.313287059526744e-07,-0.01859540442013758,-0.09798644721612573,0.007935033889091954,0.007624461443164171,-0.007470009412187466,0.02480048279668015,-0.001222499872840351,-0.03184144978548673,-0.006054826281105343,0.00666980568533584,-0.0525043618553596,0.08012693443679117,0.0057609449570799045,-0.0018448052427687703,0.010909378720775758,0.021649613882007143,-0.023350080118465164,-0.017230927878355937,0.0168395486753046,1
TCGA-21-1081,-0.04913935884119168,0.004997542285411873,-0.0005296382406120223,0.03053505447218965,0.007347957796064924,-0.013284525209136,0.005122892125395521,-2.743242329691437e-05,0.0277549139860038,0.07008264248415914,-0.08758276985606162,-0.009082980228218818,-4.852559000955243e-06,-0.016973922067906516,-0.20309818159377874,0.046989247308043845,0.016664486601295596,-0.011681005344639641,0.008434134477402874,-0.0022520170837212307,-0.04952030130310412,-0.005505598201302386,0.009686239081251158,-0.03358678705032156,0.04732637247018741,0.010042499804674723,-0.01494587111210758,0.0029626567873352475,0.014844083551661969,-0.01176530826441077,-0.015327179852724058,0.01899169204375584,0
TCGA-22-1011,-0.020942767670168404,0.002787499066240284,-0.006865521805736041,0.036952301220199525,0.003293213638076657,-0.02076150324177498,0.008328041401927538,-0.00015582278451912445,0.032093455350373175,0.0354983320332263,-0.019865735209893542,-0.02310361313843503,-1.594286469470176e-06,-0.01879657761266075,-0.0468969696246396,0.004662255839868017,0.005112184081253497,-0.006336922030524405,0.007474788816668508,-0.0002498921768590462,-0.019323622410285554,-0.006609105789735919,0.0063508037106638025,-0.028383107140429423,0.03672643508618742,0.004473675030898775,-0.0025454050923303167,0.0008271457755676174,0.011060096713814476,-0.011848449518001368,-0.006731494097664789,0.03326514023406245,0
TCGA-22-4613,-0.04274987578328253,0.0029174758654668107,-0.00027985322797755366,0.03966804149458073,0.008779898997151364,-0.019828308523622752,0.01970059755014373,-2.1732851186582614e-05,0.027567276789691807,0.08986293025002148,-0.040194384434399745,-0.0029958976066354003,-0.0001671972167960673,-0.025295302089552243,-0.024212399463380788,0.0030759390961668763,0.0053867025634543935,-0.007913896787812553,0.01186670857730296,-0.00030719659012509086,-0.03227401738196434,-0.005472710926907187,0.00255313410600712,-0.025202448837781177,0.04655348762874487,0.007027461995174166,-0.0019934439768316643,0.0038670953499681964,0.01826595562566237,-0.022469472186780352,-0.007549180738229253,0.06693006097109129,0
TCGA-18-5592,-0.06935442692383788,0.008591105382208922,-0.02061828585308938,0.04131882608763881,0.00020832458328306233,-0.04516421616752449,0.008222653456792269,-1.639532086184362e-05,0.0264172294088723,0.1348990646691068,-0.0557388454033168,-0.043038062143446625,-1.2105718705134794e-07,-0.0105278687336353,-0.05518196343754134,0.010883212122943776,0.005434462059564961,-0.0033763658326886226,0.010562936439402431,-0.0011001598683510398,-0.030297241389352237,-0.023079495542804737,0.007808350377087248,-0.03589601721040386,0.07393731343145753,0.01588524157530523,-0.0004973232426941326,0.0032971536922302724,0.026057028003190333,-0.02395084569200692,-0.002932517879559855,0.03283844084366228,1
TCGA-34-5927,-0.026508325952161956,0.003304780469222624,-0.0016107162041198672,0.021016873549608454,0.0038454814333559136,-0.028820171131540902,0.03043203487232596,-2.693590884810144e-05,0.03984412961058723,0.053032001246877895,-0.07211860018304099,-0.008482546787136936,-4.3727323322789916e-07,-0.017563608629517346,-0.06862866581901254,0.013562605638743026,0.017558001343966827,-0.01752891255832272,0.018475846292159703,-0.0004526908839279089,-0.03126967468794501,-0.003795989802908784,0.007491247751994527,-0.06330080835485066,0.044850582221598774,0.009212793595359758,-0.003805184309299196,0.003788057656560284,0.013175392066168183,-0.017757797239811635,-0.012722719018315445,0.06653475027099494,1
TCGA-22-5485,-0.08455561329921396,0.011087196026951013,-0.0006433463433784595,0.05281888476863266,0.07587319412999446,-0.029765117159938115,0.023610797475507334,-0.0005044379918919028,0.028638093628274013,0.0564330662307492,-0.07087036790702173,-0.02180986700347101,-0.0006255971302041913,-0.03379466188405782,-0.025723816201008658,0.008070636048193938,0.015731414862130623,-0.009797871182048126,0.01992592947115135,-0.00125260044894791,-0.03939968752510532,-0.012557887390138375,0.0109268693751582,-0.028892857948336757,0.08210490611098607,0.014247866102892567,-0.0016001821617955408,0.0026608454242900434,0.009386382347631221,-0.03211585117226102,-0.04618779776398146,0.05923632938918085,0
TCGA-58-A46L,-0.058187028731440146,0.002661242141739095,-0.006289362930064906,0.05049858379919103,0.0047193314983486065,-0.017487273735838495,0.012153570851571413,-1.6353944657775873e-05,0.02839692228180168,0.06356916483980152,-0.06472428397710725,-0.007576114953673979,-1.4138378927715153e-05,-0.02019137212356083,-0.04271451542766642,0.012305414258845312,0.007172154121839061,-0.013836199511646531,0.01137549734152133,-0.001140993831114945,-0.0300003439937529,-0.005039300688475936,0.007198108883276369,-0.040544092225218216,0.06830393108242867,0.023553488188594134,-0.0029330027266902233,0.004288131951559064,0.04291563259738363,-0.02640712041193293,-0.004983885055229314,0.042587314400396405,1
TCGA-22-1005,-0.018234265236210166,0.004366038846745615,-0.001010162361283588,0.027796765977762282,0.0014704793612703609,-0.016069461603639413,0.003176191423064698,-0.002581016577592829,0.01089754544201426,0.029435187842962687,-0.01072322472340037,-0.0037982908261329786,-1.9358144729392818e-05,-0.014775472734905204,-0.01534858348067626,0.008456771373589203,0.003925759845631869,-0.009028324025047175,0.0031442493124029963,-0.00022444208089326785,-0.011357858211755056,-0.010174295927259708,0.004676997456157922,-0.018940945782633972,0.027170353831896935,0.0030923519728170293,-0.005576661927862499,9.879233057478154e-05,0.01703457585038214,-0.012477778083193725,-0.024893648433987475,0.011501670059810846,1
TCGA-60-2726,-0.03737551678744091,0.012727934301025604,-0.04599002426167007,0.05328175216417943,0.006647160487771643,-0.011679478292223626,0.018788584042222372,-1.5309195505065335e-06,0.023304486247799315,0.11917029187544173,-0.06380233834593453,-0.003935896714538623,-0.0002672762938512989,-0.004599638216403786,-0.027475578189369663,0.005687389642282798,0.01485751538388304,-0.007649959022623064,0.010559840357011165,-0.0005071279916634992,-0.039063305016181396,-0.010320104419503083,0.003728334469546283,-0.019175743912942116,0.10102169693957987,0.016930015968239072,-0.0026400398510650906,0.0033533626501499035,0.04988001031328243,-0.06313349647459289,-0.0542910284687534,0.02157904077075547,0
TCGA-77-8008,-0.036920554958315796,0.00716557280180317,-0.0005789954997601053,0.031629771804870345,0.0029276474120541575,-0.04249927554664948,0.007241454616446431,-2.479469028759568e-05,0.1304245808587599,0.03864850829198324,-0.033962970351541874,-0.09632970418779695,-2.7084894822915672e-05,-0.07948930313109259,-0.07487171319173855,0.15807893015775082,0.0034866200527132046,-0.03629104010255865,0.005467546155112949,-0.0020801062967079815,-0.015569146731771044,-0.008428856531377888,0.03147857736245673,-0.041960671332932395,0.026091532883358026,0.008372511236302418,-0.0025141805295412064,0.0005536549535528618,0.017308973973746564,-0.011220587962040464,-0.010049360553515322,0.036454211154888574,1
TCGA-63-A5MW,-0.058884103796031054,0.0022588939269616933,-0.0021934398383969046,0.03941148989597647,0.004040769284108302,-0.0292100332622743,0.012348289643869585,-0.0,0.03285912753304144,0.27261415373604664,-0.06139463202171564,-0.013845362210430968,-0.00046928772344353,-0.018088866928532107,-0.04113487054235098,0.03876263666490531,0.004554794986230259,-0.0074705695666168375,0.012750327108073884,-0.00308490679430367,-0.029442393844437552,-0.012811706970110774,0.017135505882263584,-0.031077185126438842,0.06109206768154756,0.008549968730107112,-0.025198181274200263,0.001681214526113867,0.057688660733060795,-0.03868723624659497,-0.041235340460659436,0.05874375044155426,1
TCGA-18-3421,-0.02643309732833603,0.005127737900798714,-0.00021542133795665727,0.09636372911322603,0.005160801368052334,-0.02277457716687691,0.02391306493060988,-2.6294577685051406e-05,0.0525836513242434,0.0852319323534182,-0.007943469019842544,-0.005972766062849599,-4.002223971909715e-07,-0.01665798957109316,-0.028442200901381488,0.0018668708748358115,0.003955726855011414,-0.00262638907106384,0.01147076531936408,-0.00016587938898126675,-0.13028196415391563,-0.006937978533687908,0.0026526280722881717,-0.018814209782803095,0.1352410842468322,0.009641428043704641,-0.0003588677648650149,0.0012263519031357867,0.019681638367929532,-0.08550574135989569,-0.07019447071018423,0.05637308708353833,1
TCGA-58-8392,-0.05955213179979546,0.01056892995124726,-0.0009693149744024157,0.05255761028832682,0.01206197506689225,-0.02828478309189333,0.012540953636031449,-0.00041313105356540836,0.06188802045748594,0.08412658877837689,-0.05064918676478016,-0.03251868273368191,-2.0791388456088627e-05,-0.011256225146902813,-0.07244282550592415,0.005129402962924826,0.0042389239354801945,-0.005379758149335835,0.017441500996231426,-0.00042888905940478703,-0.038942078791062026,-0.00645003876868159,0.0059718745941247115,-0.02826897313832184,0.07693006446294662,0.011879112245299134,-0.006118337545598923,0.013729686158081764,0.027397068729740435,-0.011743208851051092,-0.017210193386433696,0.04583649416280329,0
TCGA-85-A4JC,-0.06705949153756474,0.007545054727827757,-0.014885144383670274,0.03664221529938001,0.0032394936050816757,-0.024858158953448773,0.007382303751562895,-1.955025642200911e-06,0.030365908324698994,0.167137675471989,-0.04429977256238728,-0.011072006504378997,-6.656311088020328e-06,-0.01654843887854185,-0.0982912397096368,0.014420712351694485,0.011825936819033886,-0.008947346700351157,0.007881796762497492,-0.0009499930193424772,-0.02286926472907772,-0.005061755408229478,0.00785817723941569,-0.03819983423964594,0.03310233040298729,0.018549483946159722,-0.003863666463573495,0.002087465918162426,0.018160444999549042,-0.03873492784294219,-0.0042482235430867914,0.044744561349736575,0
TCGA-56-7222,-0.11898976160887974,0.023528481157965252,-0.0069389498464391,0.054877261549174584,0.002963519877916316,-0.041948950102077824,0.021359160196247427,-0.00021494938013193082,0.057348726030015285,0.1267732340616056,-0.0743204981083649,-0.07552757419161935,-7.817359563830983e-07,-0.005865349740731777,-0.10904731266995821,0.005840108232085396,0.012800401935203834,-0.03831648849986236,0.011570753553967283,-0.0011635815271200385,-0.02829347874407222,-0.014093309805671906,0.0043719654639057205,-0.029366950830867947,0.08279152986092987,0.015486143764880073,-0.007831762424307425,0.000544068908520344,0.037076735458115746,-0.043453976925655835,-0.0396963803935421,0.044731285368077786,0
