feature,coefficient
SEPTIN9,-0.000543952449934376
B3GNT7,0.0005470404007850467
MYEOV,-0.0008104640254200801
RPL36AL,8.329597357281299e-05
CBR1,5.7203740810330697e-05
CD59,-0.0004137785297531256
EIF1AX,0.00021183506559853125
FGA,-0.00010344051016936037
ASH2L,0.001338353754008506
RPL37,0.00020357734916776705
FASN,-0.0004130210694260029
LAMB3,-5.2465261707200216e-05
MAGEA1,-3.668399607616604e-06
CD14,-0.00018871781662586155
EPHA2,-0.0008592965703723175
COL5A1,0.00014935803403677098
RBM38,0.00013602818601699484
MYADM,-0.00035009651835719483
RBBP7,0.0001691848301238651
PDGFA,-2.4527848849053918e-05
H2AZ1,-0.00014738750774391076
RGCC,-0.0001177489237207266
COL18A1,0.00017750930647823627
TM9SF2,-0.0002864090391658258
ERH,0.00024230643679422088
PFDN2,3.300920643688486e-05
ELN,-0.0002044830569031424
ABCC5,2.7349629194059445e-05
MT-ND3,3.1387119224333094e-06
RPS21,-2.2993875101111317e-05
ALPL,-0.00043468536524611344
RTCB,0.00033356737836160545
