feature,coefficient
CTTN,-4.711765409813693e-05
BOLA1,0.0008262038765958622
TM9SF2,-0.000511179279825801
FASN,-0.0005116160461866296
RPS29,4.2242998097418055e-05
MFSD1,0.0007210906974030138
SELENOT,6.601478411565796e-05
RPL27,1.614673888183297e-05
S100A11,2.668798681257887e-07
RPL32,-6.883973092191367e-05
FSTL3,-0.0003997260213780066
FGA,-4.8049720389833825e-06
ATP6V1F,0.0002824397485344472
GTF3C6,0.00018428578875662348
SOD1,4.076805565921005e-06
PHPT1,-0.0004754482698718211
STEAP1,-0.0001740230047820492
RPL37,0.00019542233846689858
GOLIM4,0.0004226054754128428
SNRPG,-1.2792902928260323e-05
SERPINE1,8.585570910460165e-05
CDKN1A,-0.00045523434393287724
BAG4,5.081929625466792e-05
RGCC,-0.00014038970034930043
RPS18,-8.087831445762742e-06
PDGFRB,0.0001786149606066185
GPI,-7.1899067153929965e-06
EIF3D,0.00040283218442990916
THYN1,-6.198386993106207e-05
TNFRSF12A,-0.00028309102318275613
CD14,-9.355870778185384e-05
A2M,-6.565710463219374e-05
EPHA2,-0.0005255307318468449
FLII,-0.00016699032005725763
H2AZ1,-0.00011331528377745949
COLCA2,8.830734931864522e-05
